Contig,Orthogroup
Mcav_DN58788_c0_g1_i1,OG0016188
Mcav_DN116741_c0_g1_i4,OG0023057
Mcav_DN32466_c1_g2_i1,OG0023056
Mcav_DN39030_c0_g2_i1,OG0023055
Mcav_DN390154_c0_g1_i1,OG0023054
Mcav_DN1321_c0_g1_i4,OG0023053
0,OG0023052
Mcav_DN27312_c0_g1_i1,OG0023051
Mcav_DN16675_c0_g4_i1,OG0023050
Mcav_DN12146_c0_g1_i8,OG0036802
Mcav_DN121484_c0_g1_i2,OG0036803
Mcav_DN121459_c0_g1_i1,OG0036800
Mcav_DN121466_c0_g1_i4,OG0036801
Mcav_DN44946_c1_g2_i1,OG0028089
Mcav_DN249898_c0_g1_i2,OG0028088
Mcav_DN151849_c0_g1_i1,OG0023059
Mcav_DN145430_c0_g1_i2,OG0023058
Mcav_DN23396_c0_g1_i12,OG0008878
Mcav_DN13970_c0_g1_i1,OG0008879
Mcav_DN34010_c0_g1_i6,OG0008876
Mcav_DN46804_c0_g3_i1,OG0008877
Mcav_DN6389_c0_g2_i1,OG0008877
Mcav_DN21895_c0_g1_i1,OG0008874
Mcav_DN29411_c1_g1_i30,OG0008875
Mcav_DN9547_c0_g1_i1,OG0008872
Mcav_DN28255_c0_g1_i3,OG0008873
Mcav_DN3903_c0_g1_i1,OG0008870
Mcav_DN27250_c0_g1_i2,OG0008871
Mcav_DN27250_c0_g2_i3,OG0008871
Mcav_DN16681_c0_g1_i2,OG0013298
Mcav_DN346718_c0_g1_i1,OG0013299
0,OG0013292
Mcav_DN40285_c1_g1_i2,OG0013293
Mcav_DN8451_c1_g1_i2,OG0013293
Mcav_DN50970_c0_g1_i1,OG0013290
Mcav_DN43013_c0_g1_i1,OG0013291
Mcav_DN14388_c0_g4_i2,OG0013296
Mcav_DN66662_c0_g2_i1,OG0013297
0,OG0013294
Mcav_DN18484_c0_g3_i1,OG0013295
Mcav_DN33136_c0_g1_i41,OG0041620
Mcav_DN33136_c0_g1_i41,OG0041621
Mcav_DN33143_c0_g1_i2,OG0041622
Mcav_DN33160_c0_g2_i4,OG0041623
Mcav_DN33162_c0_g1_i1,OG0041624
Mcav_DN33167_c0_g1_i1,OG0041625
Mcav_DN33168_c0_g1_i2,OG0041626
Mcav_DN33169_c0_g1_i7,OG0041627
Mcav_DN3316_c0_g2_i1,OG0041628
Mcav_DN33170_c0_g1_i1,OG0041629
Mcav_DN88105_c0_g2_i7,OG0045710
Mcav_DN8814_c0_g3_i1,OG0045711
Mcav_DN23266_c0_g2_i1,OG0039625
Mcav_DN8826_c0_g1_i1,OG0045713
Mcav_DN88285_c0_g1_i8,OG0045714
Mcav_DN883_c0_g1_i2,OG0045715
Mcav_DN88425_c0_g1_i8,OG0045716
Mcav_DN8843_c0_g1_i1,OG0045717
Mcav_DN88532_c0_g1_i2,OG0045718
Mcav_DN88622_c0_g1_i3,OG0045719
0,OG0047026
Mcav_DN23252_c0_g1_i1,OG0039624
Mcav_DN3590_c0_g1_i1,OG0014129
Mcav_DN415295_c0_g1_i2,OG0014128
Mcav_DN67054_c0_g1_i5,OG0014125
Mcav_DN40073_c0_g1_i2,OG0014124
Mcav_DN128543_c0_g1_i1,OG0014127
Mcav_DN154979_c0_g1_i1,OG0014127
Mcav_DN22883_c0_g1_i1,OG0014126
Mcav_DN2372_c0_g2_i1,OG0014121
Mcav_DN148992_c0_g1_i1,OG0014120
Mcav_DN33443_c0_g1_i2,OG0014123
Mcav_DN38094_c0_g1_i1,OG0014122
0,OG0047019
Mcav_DN253062_c0_g1_i1,OG0027832
0,OG0047018
Mcav_DN144694_c0_g1_i1,OG0028716
Mcav_DN251370_c0_g1_i1,OG0022018
Mcav_DN60639_c0_g2_i3,OG0022019
Mcav_DN209399_c0_g1_i1,OG0025048
0,OG0025049
Mcav_DN68938_c0_g1_i3,OG0022014
Mcav_DN59714_c0_g1_i2,OG0022015
Mcav_DN17678_c0_g1_i2,OG0022016
Mcav_DN31747_c0_g1_i1,OG0022017
Mcav_DN85693_c0_g1_i1,OG0022010
0,OG0022011
Mcav_DN53642_c0_g2_i9,OG0022012
Mcav_DN17531_c0_g1_i1,OG0022013
Mcav_DN29417_c0_g1_i8,OG0024311
0,OG0024310
0,OG0024313
0,OG0024312
Mcav_DN101815_c0_g1_i4,OG0024315
Mcav_DN9419_c0_g4_i1,OG0024314
Mcav_DN1603_c0_g2_i1,OG0024317
Mcav_DN39825_c0_g1_i1,OG0024316
Mcav_DN12507_c0_g2_i2,OG0024319
Mcav_DN25627_c0_g2_i1,OG0024318
Mcav_DN5877_c0_g1_i1,OG0044393
Mcav_DN58735_c0_g1_i2,OG0044392
Mcav_DN58708_c1_g1_i1,OG0044391
Mcav_DN586_c2_g1_i3,OG0044390
Mcav_DN5888_c0_g1_i2,OG0044397
Mcav_DN58885_c0_g1_i3,OG0044396
Mcav_DN5879_c0_g2_i1,OG0044395
Mcav_DN58796_c0_g1_i2,OG0044394
Mcav_DN58900_c0_g1_i5,OG0044399
Mcav_DN58899_c0_g1_i2,OG0044398
0,OG0047013
0,OG0027834
0,OG0047012
0,OG0047138
0,OG0047015
0,OG0047139
0,OG0047014
0,OG0047136
0,OG0047017
Mcav_DN65260_c0_g2_i2,OG0044674
0,OG0047016
Mcav_DN40075_c0_g2_i1,OG0015733
Mcav_DN367937_c0_g1_i1,OG0019999
Mcav_DN23986_c0_g2_i2,OG0019998
Mcav_DN78179_c0_g2_i1,OG0015732
Mcav_DN343511_c0_g1_i1,OG0019993
Mcav_DN345119_c0_g1_i1,OG0019992
Mcav_DN339942_c0_g1_i1,OG0019991
Mcav_DN25159_c0_g1_i7,OG0019990
Mcav_DN303429_c0_g1_i1,OG0019997
Mcav_DN22020_c0_g4_i1,OG0015731
Mcav_DN194482_c0_g1_i1,OG0019995
Mcav_DN133375_c0_g1_i1,OG0019994
Mcav_DN129498_c0_g1_i2,OG0015730
Mcav_DN129498_c1_g1_i1,OG0015730
Mcav_DN65261_c0_g1_i3,OG0044675
0,OG0015737
0,OG0047131
0,OG0047027
Mcav_DN293388_c0_g1_i1,OG0015736
Mcav_DN31751_c0_g1_i1,OG0015298
0,OG0015735
Mcav_DN12948_c0_g1_i1,OG0015294
Mcav_DN50628_c0_g1_i1,OG0015295
Mcav_DN28731_c0_g1_i3,OG0015296
Mcav_DN82037_c0_g1_i1,OG0015297
Mcav_DN18494_c0_g1_i13,OG0015290
Mcav_DN34402_c0_g1_i1,OG0015291
Mcav_DN295396_c0_g1_i1,OG0015292
Mcav_DN51319_c0_g1_i3,OG0015292
Mcav_DN12349_c0_g1_i1,OG0015293
Mcav_DN48649_c0_g1_i3,OG0043712
Mcav_DN46958_c0_g1_i1,OG0024499
Mcav_DN65268_c0_g1_i3,OG0044676
Mcav_DN7410_c1_g1_i16,OG0031888
Mcav_DN64672_c0_g1_i2,OG0031696
Mcav_DN48638_c0_g1_i17,OG0043710
Mcav_DN48640_c0_g2_i1,OG0043711
Mcav_DN7035_c0_g1_i2,OG0044979
Mcav_DN70358_c0_g1_i1,OG0044978
Mcav_DN70355_c0_g2_i1,OG0044977
Mcav_DN70336_c0_g1_i2,OG0044976
Mcav_DN70292_c0_g1_i1,OG0044975
Mcav_DN70285_c0_g2_i2,OG0044974
Mcav_DN7026_c0_g1_i1,OG0044973
Mcav_DN70265_c0_g1_i1,OG0044972
Mcav_DN70228_c0_g1_i1,OG0044971
Mcav_DN7021_c1_g1_i1,OG0044970
Mcav_DN17922_c0_g2_i1,OG0038431
Mcav_DN17917_c0_g1_i1,OG0038430
Mcav_DN179349_c0_g1_i1,OG0038433
Mcav_DN17933_c0_g1_i2,OG0038432
Mcav_DN17946_c0_g1_i1,OG0038435
Mcav_DN17942_c0_g1_i2,OG0038434
Mcav_DN1795_c0_g2_i1,OG0038437
Mcav_DN179586_c0_g1_i1,OG0038436
Mcav_DN17977_c0_g1_i23,OG0038439
Mcav_DN17962_c0_g1_i1,OG0038438
0,OG0046943
Mcav_DN89521_c0_g1_i1,OG0023835
Mcav_DN30349_c0_g1_i12,OG0023834
Mcav_DN6866_c1_g3_i1,OG0023837
Mcav_DN56082_c0_g1_i1,OG0023836
0,OG0023831
Mcav_DN143351_c0_g1_i2,OG0023830
Mcav_DN18603_c0_g1_i2,OG0023833
Mcav_DN110618_c0_g1_i1,OG0023832
Mcav_DN65411_c1_g5_i1,OG0031719
Mcav_DN65409_c0_g1_i1,OG0031718
Mcav_DN2753_c0_g1_i2,OG0023839
Mcav_DN5831_c0_g2_i2,OG0023838
Mcav_DN65230_c0_g2_i1,OG0044670
Mcav_DN22569_c0_g1_i1,OG0039524
Mcav_DN22594_c0_g1_i3,OG0039525
Mcav_DN22595_c0_g1_i3,OG0039526
Mcav_DN225984_c0_g1_i1,OG0039527
Mcav_DN22518_c0_g2_i3,OG0039520
Mcav_DN225345_c0_g1_i1,OG0039521
Mcav_DN64412_c0_g1_i2,OG0031694
Mcav_DN225694_c0_g1_i1,OG0039523
Mcav_DN226014_c0_g1_i1,OG0039528
Mcav_DN22602_c0_g1_i4,OG0039529
Mcav_DN108558_c0_g1_i4,OG0017124
0,OG0017125
Mcav_DN20631_c0_g1_i9,OG0017126
Mcav_DN270290_c0_g1_i1,OG0017127
Mcav_DN249255_c0_g1_i1,OG0040064
0,OG0017120
Mcav_DN252455_c0_g1_i1,OG0017121
Mcav_DN25846_c0_g1_i12,OG0017121
Mcav_DN7281_c0_g1_i4,OG0017121
Mcav_DN4732_c0_g1_i21,OG0012334
Mcav_DN246225_c0_g1_i2,OG0020568
Mcav_DN242595_c0_g1_i1,OG0020569
Mcav_DN47053_c0_g1_i1,OG0020566
Mcav_DN63446_c0_g1_i1,OG0020567
Mcav_DN5498_c0_g1_i4,OG0020564
Mcav_DN147863_c0_g1_i1,OG0020565
Mcav_DN244041_c0_g1_i1,OG0020562
Mcav_DN292809_c0_g1_i1,OG0020563
Mcav_DN130998_c0_g1_i1,OG0020560
Mcav_DN51188_c5_g1_i1,OG0020561
Mcav_DN63880_c0_g1_i3,OG0031692
Mcav_DN32730_c0_g1_i1,OG0041574
Mcav_DN65248_c0_g1_i19,OG0044673
Mcav_DN200587_c0_g1_i1,OG0026924
Mcav_DN254062_c0_g1_i1,OG0026925
Mcav_DN69432_c0_g1_i3,OG0026926
Mcav_DN307965_c0_g1_i1,OG0026927
Mcav_DN338095_c0_g1_i1,OG0026920
Mcav_DN10358_c0_g1_i5,OG0026921
Mcav_DN301934_c0_g1_i1,OG0026922
Mcav_DN397489_c0_g1_i1,OG0026923
Mcav_DN11228_c0_g1_i2,OG0026928
Mcav_DN158950_c0_g1_i1,OG0026929
Mcav_DN214476_c0_g1_i1,OG0039380
Mcav_DN214504_c0_g1_i1,OG0039381
Mcav_DN214594_c0_g1_i1,OG0039382
Mcav_DN2145_c0_g1_i3,OG0039383
Mcav_DN21498_c0_g1_i1,OG0039384
Mcav_DN21500_c0_g1_i1,OG0039385
Mcav_DN20392_c0_g1_i1,OG0039146
Mcav_DN215145_c0_g1_i1,OG0039387
Mcav_DN215158_c0_g1_i2,OG0039388
Mcav_DN21517_c0_g1_i1,OG0039389
0,OG0046535
0,OG0046534
0,OG0046537
0,OG0046536
Mcav_DN32738_c0_g2_i2,OG0041576
0,OG0046530
0,OG0046533
0,OG0046532
0,OG0046539
0,OG0046538
Mcav_DN137886_c0_g1_i12,OG0028614
Mcav_DN20402_c0_g1_i1,OG0039147
0,OG0033840
Mcav_DN327416_c0_g1_i1,OG0041577
Mcav_DN408856_c0_g1_i1,OG0041577
Mcav_DN74460_c0_g1_i1,OG0033844
Mcav_DN100381_c0_g2_i1,OG0028085
Mcav_DN69748_c0_g1_i3,OG0028084
Mcav_DN8978_c0_g2_i1,OG0033846
Mcav_DN2764_c0_g1_i1,OG0028087
Mcav_DN156791_c0_g1_i1,OG0038052
0,OG0027031
Mcav_DN29818_c0_g1_i7,OG0027030
Mcav_DN53331_c0_g1_i1,OG0027033
Mcav_DN151840_c0_g1_i2,OG0027032
Mcav_DN39871_c0_g2_i2,OG0027035
Mcav_DN66941_c0_g1_i1,OG0027034
Mcav_DN26934_c2_g1_i1,OG0027037
Mcav_DN4564_c0_g2_i1,OG0027036
Mcav_DN84750_c0_g1_i1,OG0027039
Mcav_DN313712_c0_g1_i1,OG0027038
Mcav_DN156732_c0_g1_i1,OG0038050
Mcav_DN156281_c0_g1_i1,OG0028080
Mcav_DN10670_c0_g1_i2,OG0028265
Mcav_DN60683_c0_g1_i2,OG0028083
Mcav_DN10666_c1_g1_i1,OG0028264
Mcav_DN357814_c0_g1_i1,OG0028082
Mcav_DN106865_c0_g1_i2,OG0028267
Mcav_DN389083_c0_g1_i1,OG0028267
Mcav_DN32715_c0_g3_i3,OG0041571
Mcav_DN166785_c0_g1_i1,OG0038267
Mcav_DN10684_c0_g1_i1,OG0028266
Mcav_DN106408_c0_g1_i2,OG0028261
Mcav_DN13827_c0_g1_i4,OG0028617
Mcav_DN106382_c0_g1_i1,OG0028260
Mcav_DN81982_c0_g1_i4,OG0026551
Mcav_DN106642_c0_g1_i1,OG0028263
Mcav_DN389139_c0_g1_i1,OG0028263
Mcav_DN12179_c0_g1_i5,OG0036806
Mcav_DN13105_c0_g1_i3,OG0037053
Mcav_DN10661_c0_g1_i12,OG0028262
Mcav_DN32720_c1_g2_i1,OG0041572
Mcav_DN121827_c0_g1_i2,OG0036807
Mcav_DN81360_c1_g1_i1,OG0031992
Mcav_DN121543_c0_g2_i1,OG0036804
Mcav_DN13745_c0_g1_i1,OG0028610
Mcav_DN65279_c0_g2_i3,OG0044679
Mcav_DN148069_c0_g1_i1,OG0026076
0,OG0026077
Mcav_DN3672_c0_g1_i1,OG0026074
0,OG0026075
0,OG0026072
Mcav_DN21061_c0_g1_i1,OG0026073
0,OG0026070
0,OG0026071
Mcav_DN32723_c0_g1_i1,OG0041573
0,OG0026078
0,OG0026079
Mcav_DN25890_c0_g1_i2,OG0029983
Mcav_DN82735_c0_g2_i3,OG0031998
Mcav_DN137592_c0_g1_i1,OG0028611
Mcav_DN137592_c0_g2_i1,OG0028611
Mcav_DN13767_c0_g1_i1,OG0028612
Mcav_DN22083_c0_g1_i18,OG0004379
Mcav_DN25998_c0_g1_i4,OG0004379
Mcav_DN8657_c0_g1_i14,OG0004379
Mcav_DN8090_c0_g1_i4,OG0004378
Mcav_DN23434_c1_g1_i4,OG0004375
Mcav_DN4638_c1_g1_i1,OG0004374
Mcav_DN18880_c0_g1_i8,OG0004377
Mcav_DN18880_c0_g1_i8,OG0004377
Mcav_DN1668_c0_g2_i1,OG0004376
Mcav_DN46982_c0_g1_i1,OG0004376
Mcav_DN7797_c0_g1_i2,OG0004371
Mcav_DN23500_c1_g1_i1,OG0004370
Mcav_DN27436_c1_g1_i5,OG0004370
Mcav_DN44323_c0_g1_i2,OG0004370
Mcav_DN54551_c0_g1_i1,OG0004370
Mcav_DN57367_c0_g1_i1,OG0004370
Mcav_DN136649_c0_g1_i1,OG0004373
Mcav_DN216782_c0_g1_i1,OG0004373
Mcav_DN31319_c0_g1_i2,OG0004373
Mcav_DN328809_c0_g1_i1,OG0004372
Mcav_DN8239_c0_g1_i1,OG0004372
Mcav_DN13770_c0_g1_i3,OG0028613
0,OG0034311
Mcav_DN1133_c0_g1_i1,OG0018107
Mcav_DN113387_c1_g1_i1,OG0018106
Mcav_DN11330_c0_g1_i5,OG0018105
Mcav_DN11323_c0_g1_i3,OG0018104
Mcav_DN11323_c0_g5_i1,OG0018104
Mcav_DN11318_c0_g2_i3,OG0018103
Mcav_DN11313_c0_g1_i1,OG0018102
Mcav_DN11296_c0_g1_i8,OG0018101
Mcav_DN11286_c1_g1_i2,OG0018100
Mcav_DN11361_c0_g2_i1,OG0018109
Mcav_DN24671_c0_g1_i2,OG0018109
Mcav_DN55398_c0_g2_i1,OG0018109
Mcav_DN67825_c0_g1_i8,OG0018109
Mcav_DN11343_c0_g1_i6,OG0018108
Mcav_DN11343_c0_g2_i1,OG0018108
Mcav_DN243152_c0_g1_i1,OG0025529
0,OG0025528
Mcav_DN34011_c1_g1_i2,OG0030531
Mcav_DN138747_c0_g1_i2,OG0025521
0,OG0025520
Mcav_DN337898_c0_g1_i2,OG0025523
Mcav_DN10878_c0_g1_i5,OG0025522
Mcav_DN50231_c0_g1_i6,OG0025525
Mcav_DN21517_c0_g6_i1,OG0025524
Mcav_DN21065_c0_g1_i1,OG0025527
Mcav_DN4326_c0_g1_i2,OG0025526
Mcav_DN340178_c0_g1_i2,OG0030533
Mcav_DN392372_c0_g1_i1,OG0030533
0,OG0015899
Mcav_DN24724_c0_g1_i1,OG0039992
Mcav_DN340849_c0_g1_i1,OG0030538
Mcav_DN42076_c0_g1_i1,OG0030538
Mcav_DN340956_c0_g1_i1,OG0030539
Mcav_DN7477_c1_g3_i2,OG0023454
Mcav_DN131843_c0_g1_i3,OG0028559
Mcav_DN206952_c0_g1_i1,OG0028559
Mcav_DN342769_c0_g1_i1,OG0028559
Mcav_DN13170_c0_g1_i1,OG0028558
Mcav_DN131079_c1_g1_i1,OG0028553
Mcav_DN203862_c0_g1_i1,OG0028553
Mcav_DN131077_c0_g2_i1,OG0028552
Mcav_DN132676_c0_g1_i1,OG0028552
Mcav_DN299157_c0_g1_i1,OG0028552
Mcav_DN130946_c0_g1_i4,OG0028551
Mcav_DN130800_c0_g1_i2,OG0028550
Mcav_DN344994_c0_g1_i1,OG0028550
Mcav_DN131374_c0_g1_i2,OG0028557
Mcav_DN393374_c0_g1_i1,OG0028557
Mcav_DN13131_c0_g1_i1,OG0028556
Mcav_DN13129_c0_g3_i1,OG0028555
Mcav_DN131156_c0_g1_i1,OG0028554
Mcav_DN41522_c3_g1_i1,OG0028554
Mcav_DN60905_c0_g2_i1,OG0005967
Mcav_DN5237_c0_g1_i1,OG0005966
Mcav_DN13000_c0_g1_i1,OG0005965
Mcav_DN57232_c0_g1_i1,OG0005965
Mcav_DN21932_c0_g1_i3,OG0005964
Mcav_DN3494_c0_g3_i1,OG0005964
Mcav_DN34466_c0_g1_i1,OG0005963
Mcav_DN49877_c0_g1_i13,OG0005963
Mcav_DN18395_c1_g1_i2,OG0005962
Mcav_DN2084_c0_g2_i1,OG0005961
Mcav_DN146298_c0_g1_i1,OG0005960
Mcav_DN19972_c0_g2_i1,OG0005960
Mcav_DN337798_c0_g1_i1,OG0005960
Mcav_DN58094_c0_g1_i1,OG0019764
Mcav_DN345608_c0_g1_i1,OG0019765
Mcav_DN204448_c0_g1_i1,OG0019766
Mcav_DN76886_c1_g1_i1,OG0019767
Mcav_DN18131_c0_g1_i2,OG0019760
Mcav_DN85117_c0_g1_i1,OG0019761
Mcav_DN198906_c0_g1_i1,OG0005969
Mcav_DN41607_c0_g2_i1,OG0005969
Mcav_DN418400_c0_g1_i1,OG0005969
Mcav_DN79964_c0_g1_i1,OG0005969
Mcav_DN279169_c0_g1_i1,OG0019763
Mcav_DN150367_c0_g1_i1,OG0028836
0,OG0034978
0,OG0034979
0,OG0034974
0,OG0034975
0,OG0034976
0,OG0034977
0,OG0034970
Mcav_DN154_c4_g1_i4,OG0034971
0,OG0034972
0,OG0034973
Mcav_DN5539_c0_g3_i2,OG0031483
Mcav_DN414650_c0_g1_i1,OG0043126
Mcav_DN55372_c1_g3_i2,OG0031482
Mcav_DN9793_c1_g2_i2,OG0021316
Mcav_DN79781_c0_g1_i2,OG0021317
Mcav_DN302567_c0_g1_i1,OG0021314
Mcav_DN69388_c0_g1_i2,OG0021315
0,OG0021312
Mcav_DN62321_c0_g1_i1,OG0021313
Mcav_DN198216_c0_g1_i1,OG0021310
Mcav_DN36551_c1_g1_i1,OG0021311
Mcav_DN140297_c0_g1_i2,OG0021318
Mcav_DN398741_c0_g1_i1,OG0021319
Mcav_DN199734_c0_g1_i1,OG0035599
0,OG0035598
Mcav_DN55990_c0_g1_i1,OG0031489
Mcav_DN195376_c0_g1_i1,OG0035591
0,OG0035590
0,OG0035593
Mcav_DN5587_c0_g1_i2,OG0031488
Mcav_DN183105_c0_g1_i1,OG0035595
Mcav_DN302655_c0_g1_i1,OG0035594
0,OG0035597
Mcav_DN149200_c0_g1_i1,OG0035596
Mcav_DN135_c3_g1_i6,OG0006265
Mcav_DN16242_c1_g1_i7,OG0006264
Mcav_DN15436_c1_g1_i23,OG0006267
Mcav_DN20753_c0_g2_i1,OG0006266
Mcav_DN242720_c0_g1_i2,OG0006266
Mcav_DN9073_c3_g1_i2,OG0006261
Mcav_DN38795_c0_g2_i4,OG0006260
Mcav_DN44578_c0_g1_i3,OG0006260
Mcav_DN44578_c0_g2_i8,OG0006260
Mcav_DN9254_c0_g1_i2,OG0006263
Mcav_DN37501_c0_g1_i2,OG0006262
Mcav_DN346923_c0_g1_i1,OG0042029
Mcav_DN346787_c0_g1_i1,OG0042028
Mcav_DN29607_c1_g1_i5,OG0006269
Mcav_DN40601_c1_g1_i1,OG0006268
0,OG0046265
Mcav_DN194170_c0_g1_i1,OG0038653
Mcav_DN15517_c0_g1_i1,OG0037999
Mcav_DN155174_c0_g1_i1,OG0037998
Mcav_DN155155_c0_g1_i1,OG0037997
Mcav_DN155086_c0_g1_i1,OG0037996
Mcav_DN155046_c0_g1_i1,OG0037995
Mcav_DN154_c0_g3_i1,OG0037994
Mcav_DN61697_c4_g1_i1,OG0037994
Mcav_DN154925_c0_g1_i1,OG0037993
Mcav_DN154922_c0_g1_i1,OG0037992
Mcav_DN154911_c0_g1_i1,OG0037991
Mcav_DN154902_c0_g1_i2,OG0037990
0,OG0035629
Mcav_DN149196_c0_g1_i1,OG0035628
Mcav_DN209223_c0_g1_i1,OG0035627
Mcav_DN302334_c0_g1_i1,OG0035626
0,OG0035625
0,OG0035624
0,OG0035623
0,OG0035622
0,OG0035621
Mcav_DN420758_c0_g1_i1,OG0035620
Mcav_DN250179_c0_g1_i1,OG0020049
Mcav_DN38109_c0_g1_i2,OG0020048
0,OG0046343
Mcav_DN30147_c0_g1_i1,OG0020041
Mcav_DN53802_c0_g1_i2,OG0020040
Mcav_DN291374_c0_g1_i1,OG0020043
Mcav_DN349218_c0_g1_i1,OG0020042
Mcav_DN296883_c0_g1_i1,OG0020045
Mcav_DN14805_c0_g1_i3,OG0020044
Mcav_DN226031_c0_g1_i1,OG0020047
0,OG0020046
Mcav_DN148429_c0_g1_i1,OG0037665
Mcav_DN148425_c0_g1_i1,OG0037664
Mcav_DN148460_c0_g1_i1,OG0037667
Mcav_DN148452_c0_g1_i1,OG0037666
Mcav_DN148347_c0_g1_i1,OG0037661
Mcav_DN148332_c0_g1_i1,OG0037660
Mcav_DN148423_c0_g1_i1,OG0037663
Mcav_DN14836_c0_g2_i1,OG0037662
Mcav_DN148465_c0_g1_i1,OG0037669
Mcav_DN148463_c0_g1_i1,OG0037668
Mcav_DN84938_c0_g2_i1,OG0032019
Mcav_DN84847_c0_g2_i1,OG0032018
Mcav_DN84691_c0_g1_i1,OG0032015
Mcav_DN84682_c0_g1_i2,OG0032014
Mcav_DN84846_c0_g1_i6,OG0032017
Mcav_DN84725_c0_g1_i1,OG0032016
Mcav_DN84725_c0_g2_i2,OG0032016
Mcav_DN84615_c0_g1_i2,OG0032011
Mcav_DN84601_c0_g1_i2,OG0032010
Mcav_DN84601_c0_g2_i1,OG0032010
Mcav_DN84638_c0_g1_i5,OG0032013
Mcav_DN84619_c0_g1_i2,OG0032012
Mcav_DN84619_c0_g2_i2,OG0032012
Mcav_DN32010_c0_g4_i2,OG0041480
Mcav_DN320294_c0_g1_i1,OG0041481
Mcav_DN29409_c0_g2_i1,OG0004811
Mcav_DN32043_c0_g1_i4,OG0041482
Mcav_DN84612_c0_g1_i6,OG0045552
Mcav_DN84616_c0_g1_i1,OG0045553
Mcav_DN84604_c0_g1_i4,OG0045550
Mcav_DN32044_c0_g1_i6,OG0041483
Mcav_DN84624_c0_g1_i4,OG0045556
Mcav_DN84630_c0_g2_i4,OG0045557
Mcav_DN84618_c0_g1_i1,OG0045554
Mcav_DN84621_c0_g1_i1,OG0045555
Mcav_DN3205_c1_g1_i2,OG0041484
Mcav_DN84632_c0_g1_i1,OG0045558
Mcav_DN84633_c0_g1_i10,OG0045559
Mcav_DN5569_c1_g1_i23,OG0044189
Mcav_DN320607_c0_g1_i1,OG0041485
Mcav_DN51010_c0_g2_i6,OG0043868
Mcav_DN51014_c0_g1_i2,OG0043869
Mcav_DN32077_c0_g1_i1,OG0041486
Mcav_DN50969_c0_g1_i2,OG0043860
Mcav_DN50971_c0_g2_i1,OG0043861
Mcav_DN50981_c0_g1_i5,OG0043862
Mcav_DN32080_c2_g1_i19,OG0041487
Mcav_DN50989_c0_g1_i4,OG0043864
Mcav_DN50993_c0_g1_i1,OG0043865
Mcav_DN50_c0_g2_i1,OG0043866
Mcav_DN51003_c1_g1_i2,OG0043867
Mcav_DN72754_c0_g2_i1,OG0045088
Mcav_DN72758_c0_g1_i1,OG0045089
Mcav_DN72716_c0_g2_i1,OG0045080
Mcav_DN72725_c0_g1_i2,OG0045081
Mcav_DN72733_c0_g1_i1,OG0045082
Mcav_DN72734_c0_g1_i1,OG0045083
Mcav_DN72737_c0_g1_i1,OG0045084
Mcav_DN72738_c0_g1_i5,OG0045085
Mcav_DN72742_c0_g2_i1,OG0045086
Mcav_DN72749_c0_g2_i1,OG0045087
Mcav_DN5230_c0_g1_i5,OG0007619
