ssid_fast_orthogroups,Ssid_longest_proteome
OG0000019,"Ssid_224517_c0_seq1.p1, Ssid_227392_c0_seq3.p1, Ssid_240646_c0_seq11.p1, Ssid_243868_c0_seq1.p1, Ssid_244263_c1_seq5.p1, Ssid_249221_c0_seq5.p1, Ssid_251671_c0_seq5.p1, Ssid_253716_c0_seq5.p1, Ssid_254522_c0_seq1.p1, Ssid_256249_c0_seq2.p1, Ssid_257114_c0_seq2.p1, Ssid_259132_c5_seq1.p1, Ssid_259827_c2_seq6.p1, Ssid_263067_c1_seq3.p1, Ssid_263209_c1_seq1.p1, Ssid_263471_c0_seq1.p1, Ssid_263677_c0_seq3.p1, Ssid_362106_c0_seq1.p1"
OG0000020,"Ssid_233667_c0_seq1.p1, Ssid_263816_c0_seq4.p1"
OG0000021,
OG0000022,Ssid_254742_c0_seq1.p1
OG0000023,"Ssid_14629_c0_seq1.p1, Ssid_211330_c0_seq1.p1, Ssid_220512_c0_seq5.p1, Ssid_253443_c1_seq21.p1"
OG0000024,"Ssid_103627_c0_seq1.p1, Ssid_107961_c0_seq1.p1, Ssid_108029_c0_seq1.p1, Ssid_124364_c0_seq1.p1, Ssid_130562_c0_seq1.p1, Ssid_205586_c0_seq1.p1, Ssid_208876_c0_seq2.p1, Ssid_257837_c0_seq1.p1, Ssid_436202_c0_seq1.p1, Ssid_63976_c0_seq1.p1, Ssid_72504_c0_seq1.p1"
OG0000025,
OG0000026,"Ssid_130532_c0_seq1.p1, Ssid_211249_c0_seq1.p1, Ssid_212554_c0_seq1.p1, Ssid_224398_c0_seq2.p1, Ssid_235473_c0_seq1.p1, Ssid_240632_c0_seq1.p1, Ssid_244180_c0_seq1.p1, Ssid_246724_c0_seq1.p1, Ssid_248934_c0_seq1.p1, Ssid_252767_c0_seq1.p1, Ssid_252767_c1_seq1.p1, Ssid_254651_c0_seq2.p1, Ssid_254930_c0_seq1.p1, Ssid_259776_c0_seq3.p1, Ssid_84261_c0_seq2.p1"
OG0000027,"Ssid_246565_c1_seq4.p1, Ssid_253762_c1_seq12.p1, Ssid_261269_c0_seq1.p2"
OG0000028,"Ssid_79881_c0_seq1.p1, Ssid_79881_c0_seq1.p2"
OG0000029,
OG0000030,
OG0000031,"Ssid_128317_c0_seq1.p1, Ssid_189149_c0_seq1.p1, Ssid_207258_c0_seq1.p1, Ssid_230218_c0_seq1.p1, Ssid_254515_c0_seq3.p1, Ssid_258565_c1_seq3.p1, Ssid_258815_c1_seq5.p2, Ssid_259720_c0_seq2.p1, Ssid_260468_c1_seq1.p1, Ssid_261399_c0_seq1.p1, Ssid_261756_c1_seq6.p1, Ssid_262096_c0_seq1.p1, Ssid_262116_c0_seq1.p1, Ssid_262140_c0_seq2.p1, Ssid_262580_c0_seq4.p4, Ssid_262803_c0_seq1.p1, Ssid_262891_c0_seq1.p1, Ssid_263073_c0_seq1.p1, Ssid_263279_c0_seq1.p1, Ssid_263551_c0_seq1.p1, Ssid_263562_c0_seq1.p1, Ssid_263646_c0_seq4.p1, Ssid_263733_c0_seq3.p1, Ssid_263789_c0_seq1.p1, Ssid_263799_c0_seq1.p1, Ssid_263801_c0_seq1.p2, Ssid_83011_c0_seq1.p1"
OG0000032,
OG0000033,
OG0000034,"Ssid_139892_c0_seq1.p1, Ssid_164110_c0_seq3.p1, Ssid_200473_c0_seq1.p1, Ssid_203797_c0_seq1.p1, Ssid_203797_c0_seq1.p2, Ssid_212991_c0_seq1.p1, Ssid_248540_c0_seq1.p2, Ssid_256854_c1_seq3.p1, Ssid_259106_c0_seq5.p1, Ssid_260087_c0_seq6.p1, Ssid_262637_c0_seq3.p1, Ssid_3310_c0_seq1.p1, Ssid_344484_c0_seq1.p1, Ssid_388926_c0_seq1.p1"
OG0000035,Ssid_93935_c0_seq1.p1
OG0000036,Ssid_209427_c0_seq10.p1
OG0000037,"Ssid_246632_c1_seq4.p1, Ssid_248788_c0_seq1.p1, Ssid_259382_c0_seq2.p1, Ssid_6403_c0_seq1.p1"
OG0000038,"Ssid_127966_c0_seq1.p1, Ssid_167561_c0_seq2.p1, Ssid_257682_c0_seq2.p1, Ssid_258289_c0_seq1.p1, Ssid_262760_c1_seq1.p1, Ssid_263247_c1_seq1.p2, Ssid_59113_c0_seq1.p1"
OG0000039,"Ssid_253430_c3_seq2.p1, Ssid_254215_c1_seq7.p1, Ssid_258814_c0_seq2.p1"
OG0000040,"Ssid_148912_c0_seq1.p1, Ssid_170359_c0_seq2.p1"
OG0000041,"Ssid_166442_c0_seq4.p1, Ssid_166844_c0_seq1.p1, Ssid_211626_c0_seq2.p1, Ssid_216004_c0_seq2.p1, Ssid_255569_c0_seq1.p1, Ssid_256856_c0_seq4.p1, Ssid_257520_c0_seq1.p1, Ssid_258426_c0_seq1.p3, Ssid_262228_c0_seq14.p4, Ssid_308183_c0_seq1.p2"
OG0000042,"Ssid_239700_c0_seq1.p1, Ssid_250301_c0_seq1.p1, Ssid_250690_c0_seq1.p1, Ssid_251755_c0_seq5.p1, Ssid_259300_c0_seq3.p1, Ssid_263381_c0_seq6.p1"
OG0000043,Ssid_252958_c0_seq2.p1
OG0000044,"Ssid_205425_c0_seq2.p1, Ssid_228949_c0_seq2.p1, Ssid_229457_c0_seq2.p1, Ssid_229971_c0_seq1.p1, Ssid_246104_c0_seq1.p1, Ssid_247563_c0_seq1.p1, Ssid_247563_c0_seq1.p2, Ssid_252421_c0_seq3.p1, Ssid_255134_c0_seq1.p1, Ssid_261545_c0_seq1.p1"
OG0000045,Ssid_260620_c1_seq1.p1
OG0000046,"Ssid_246955_c1_seq1.p1, Ssid_256526_c0_seq7.p1, Ssid_258880_c0_seq10.p1, Ssid_262532_c0_seq1.p1, Ssid_263206_c0_seq1.p1, Ssid_263260_c1_seq1.p1, Ssid_263763_c0_seq3.p1"
OG0000047,
OG0000048,"Ssid_250727_c0_seq15.p1, Ssid_261443_c0_seq5.p1, Ssid_263808_c0_seq2.p1"
OG0000049,"Ssid_200922_c0_seq3.p1, Ssid_248632_c0_seq1.p2, Ssid_250002_c1_seq8.p1, Ssid_252147_c1_seq1.p1, Ssid_253140_c0_seq2.p1, Ssid_253632_c0_seq10.p4, Ssid_254484_c0_seq24.p3, Ssid_256256_c0_seq40.p1, Ssid_260166_c0_seq12.p2, Ssid_260703_c1_seq16.p2, Ssid_262788_c0_seq3.p1, Ssid_262884_c1_seq1.p3, Ssid_263479_c1_seq3.p3"
OG0000050,"Ssid_138748_c0_seq1.p1, Ssid_225242_c0_seq2.p1, Ssid_261241_c0_seq4.p1, Ssid_371643_c0_seq1.p1"
OG0000051,
OG0000052,"Ssid_181369_c0_seq1.p1, Ssid_225507_c0_seq1.p1"
OG0000053,"Ssid_177600_c0_seq2.p1, Ssid_213046_c0_seq1.p1, Ssid_236792_c0_seq1.p1, Ssid_258559_c1_seq1.p1, Ssid_258559_c1_seq1.p2, Ssid_261699_c2_seq1.p1, Ssid_357608_c0_seq1.p1"
OG0000054,Ssid_205711_c0_seq1.p1
OG0000055,"Ssid_236224_c1_seq1.p1, Ssid_245982_c0_seq10.p2, Ssid_263694_c1_seq3.p1"
OG0000056,
OG0000057,Ssid_180753_c0_seq1.p1
OG0000058,"Ssid_123599_c0_seq1.p3, Ssid_241268_c0_seq2.p1"
OG0000059,
OG0000060,Ssid_259379_c1_seq13.p1
OG0000061,Ssid_410444_c0_seq1.p1
OG0000062,Ssid_218582_c0_seq1.p1
OG0000063,"Ssid_246591_c2_seq1.p1, Ssid_249654_c1_seq1.p1, Ssid_253970_c1_seq5.p1, Ssid_256306_c0_seq1.p1, Ssid_258788_c0_seq2.p2, Ssid_260345_c0_seq2.p1"
OG0000064,"Ssid_244408_c0_seq2.p1, Ssid_251569_c0_seq3.p1, Ssid_257253_c0_seq1.p1, Ssid_260203_c0_seq1.p1, Ssid_262298_c0_seq4.p1"
OG0000065,"Ssid_191217_c0_seq1.p1, Ssid_211472_c0_seq1.p1, Ssid_239461_c0_seq1.p1, Ssid_242854_c0_seq1.p1, Ssid_244472_c0_seq1.p1, Ssid_257247_c0_seq4.p1, Ssid_2586_c0_seq1.p1, Ssid_260684_c1_seq6.p1, Ssid_261197_c0_seq2.p1, Ssid_264103_c0_seq1.p1, Ssid_293714_c0_seq1.p1, Ssid_314292_c0_seq1.p1"
OG0000066,
OG0000067,"Ssid_181313_c0_seq2.p1, Ssid_216444_c0_seq3.p1, Ssid_253168_c0_seq9.p1, Ssid_355119_c0_seq1.p1"
OG0000068,"Ssid_228649_c0_seq1.p1, Ssid_245380_c0_seq3.p1, Ssid_246336_c0_seq2.p1, Ssid_250679_c0_seq9.p1, Ssid_250985_c0_seq6.p1, Ssid_251277_c1_seq5.p1, Ssid_253091_c0_seq1.p1, Ssid_260332_c0_seq6.p1, Ssid_260457_c0_seq2.p1, Ssid_260797_c0_seq10.p2, Ssid_260797_c0_seq10.p3, Ssid_261657_c0_seq9.p1, Ssid_261712_c0_seq7.p1, Ssid_263194_c0_seq1.p1"
OG0000069,"Ssid_249788_c0_seq5.p1, Ssid_259660_c0_seq5.p1"
OG0000070,"Ssid_105395_c0_seq1.p1, Ssid_106474_c0_seq1.p1, Ssid_112312_c0_seq1.p2, Ssid_125633_c0_seq2.p1, Ssid_143513_c0_seq2.p1, Ssid_150826_c0_seq1.p1, Ssid_152307_c0_seq1.p2, Ssid_161201_c0_seq2.p2, Ssid_161534_c0_seq1.p1, Ssid_167982_c0_seq3.p1, Ssid_183870_c0_seq2.p1, Ssid_226908_c0_seq2.p2, Ssid_226908_c1_seq4.p2, Ssid_233591_c0_seq1.p1, Ssid_236644_c0_seq1.p1, Ssid_246124_c0_seq1.p1, Ssid_252221_c1_seq1.p1, Ssid_256113_c0_seq8.p1, Ssid_369529_c0_seq1.p1"
OG0000071,
OG0000072,"Ssid_127520_c0_seq1.p1, Ssid_162514_c0_seq2.p1, Ssid_194772_c0_seq1.p1, Ssid_222720_c0_seq1.p1, Ssid_246017_c0_seq19.p1, Ssid_246017_c0_seq19.p2, Ssid_252990_c0_seq1.p1, Ssid_257540_c0_seq3.p1, Ssid_257540_c0_seq3.p2, Ssid_262978_c0_seq2.p1, Ssid_263718_c0_seq8.p1, Ssid_263718_c0_seq8.p2, Ssid_27087_c0_seq1.p1, Ssid_28738_c0_seq1.p1, Ssid_311800_c0_seq1.p1, Ssid_368238_c0_seq1.p1, Ssid_405141_c0_seq1.p1, Ssid_8775_c0_seq1.p1"
OG0000073,"Ssid_162766_c0_seq1.p1, Ssid_186166_c0_seq2.p1, Ssid_227183_c0_seq7.p1, Ssid_245561_c0_seq6.p1, Ssid_246530_c0_seq1.p1, Ssid_249988_c0_seq1.p1, Ssid_254022_c3_seq4.p1, Ssid_260672_c0_seq1.p1, Ssid_261361_c0_seq2.p1, Ssid_261587_c0_seq2.p1, Ssid_263664_c1_seq1.p1"
OG0000074,"Ssid_236568_c0_seq1.p1, Ssid_242242_c0_seq9.p1"
OG0000075,"Ssid_210585_c0_seq1.p1, Ssid_249129_c0_seq3.p1, Ssid_263302_c0_seq2.p2"
OG0000076,"Ssid_249469_c0_seq1.p1, Ssid_252896_c0_seq1.p1, Ssid_255587_c0_seq1.p1, Ssid_261989_c0_seq1.p1, Ssid_262135_c1_seq1.p1"
OG0000077,"Ssid_224961_c0_seq4.p1, Ssid_259506_c0_seq2.p1"
OG0000078,"Ssid_233519_c0_seq6.p1, Ssid_233519_c0_seq6.p2, Ssid_252439_c0_seq2.p1, Ssid_259344_c0_seq2.p1, Ssid_261243_c0_seq1.p1, Ssid_261466_c0_seq5.p1, Ssid_261794_c0_seq3.p1, Ssid_262651_c1_seq11.p1, Ssid_263332_c0_seq3.p1"
OG0000079,"Ssid_127283_c0_seq1.p1, Ssid_198245_c0_seq1.p1, Ssid_244898_c0_seq1.p1, Ssid_244898_c0_seq1.p2, Ssid_249907_c0_seq1.p1, Ssid_253336_c0_seq1.p1, Ssid_256079_c0_seq2.p1, Ssid_256921_c0_seq1.p1, Ssid_257171_c0_seq2.p2, Ssid_259562_c0_seq1.p1, Ssid_262564_c0_seq1.p1, Ssid_390709_c0_seq1.p1, Ssid_39745_c0_seq1.p1, Ssid_427229_c0_seq1.p1"
OG0000080,Ssid_226319_c0_seq5.p1
OG0000081,Ssid_262721_c1_seq4.p2
OG0000082,
OG0000083,Ssid_234408_c0_seq1.p1
OG0000084,Ssid_250910_c0_seq13.p1
OG0000085,
OG0000086,"Ssid_232436_c0_seq4.p2, Ssid_235355_c0_seq1.p1"
OG0000087,Ssid_239957_c0_seq1.p1
OG0000088,"Ssid_114019_c0_seq1.p1, Ssid_154808_c0_seq1.p1, Ssid_194491_c0_seq1.p1, Ssid_381222_c0_seq1.p2"
OG0000089,
OG0000090,
OG0000091,"Ssid_202284_c0_seq1.p1, Ssid_232416_c0_seq5.p1, Ssid_247054_c0_seq2.p1, Ssid_248067_c0_seq5.p2, Ssid_254171_c0_seq3.p2, Ssid_257258_c0_seq3.p1, Ssid_261191_c0_seq1.p1, Ssid_261430_c0_seq1.p1, Ssid_263518_c1_seq1.p1"
OG0000092,
OG0000093,
OG0000094,"Ssid_195119_c0_seq1.p1, Ssid_260440_c0_seq10.p1, Ssid_430226_c0_seq1.p1"
OG0000095,"Ssid_118667_c0_seq1.p1, Ssid_204021_c0_seq3.p1, Ssid_216198_c0_seq1.p1, Ssid_227671_c0_seq1.p1, Ssid_242990_c0_seq1.p1, Ssid_257739_c0_seq1.p2, Ssid_44750_c0_seq1.p1"
OG0000096,"Ssid_200168_c0_seq1.p1, Ssid_243635_c0_seq1.p2, Ssid_261689_c0_seq2.p1, Ssid_261857_c0_seq2.p1, Ssid_262147_c0_seq1.p1, Ssid_262876_c0_seq1.p1, Ssid_262876_c0_seq1.p3, Ssid_263232_c0_seq1.p1, Ssid_263740_c0_seq1.p1, Ssid_94530_c0_seq1.p1"
OG0000097,"Ssid_252315_c0_seq2.p1, Ssid_259976_c0_seq24.p2, Ssid_261658_c0_seq1.p1"
OG0000098,"Ssid_239593_c0_seq2.p1, Ssid_247311_c0_seq23.p1, Ssid_250309_c0_seq3.p1, Ssid_255376_c2_seq1.p1"
OG0000099,
OG0000100,
OG0000101,Ssid_259627_c1_seq2.p3
OG0000102,"Ssid_217062_c0_seq1.p1, Ssid_224829_c0_seq1.p1, Ssid_23744_c0_seq1.p1, Ssid_249748_c0_seq1.p1, Ssid_252712_c0_seq1.p1, Ssid_260908_c0_seq3.p1, Ssid_58132_c0_seq1.p1"
OG0000103,"Ssid_163236_c0_seq3.p1, Ssid_175584_c0_seq3.p2, Ssid_210629_c0_seq1.p1, Ssid_249147_c0_seq1.p1, Ssid_253477_c0_seq4.p1, Ssid_260238_c0_seq1.p1, Ssid_411732_c0_seq1.p1, Ssid_49142_c0_seq1.p1"
OG0000104,"Ssid_181994_c0_seq1.p1, Ssid_214784_c0_seq2.p1, Ssid_232903_c0_seq6.p1, Ssid_242160_c0_seq4.p1, Ssid_245888_c0_seq4.p1, Ssid_246940_c0_seq2.p1, Ssid_246940_c0_seq2.p2, Ssid_247619_c0_seq2.p1, Ssid_249569_c0_seq2.p1, Ssid_252220_c0_seq1.p1, Ssid_252424_c0_seq5.p1, Ssid_254885_c0_seq27.p1, Ssid_257732_c0_seq7.p1, Ssid_261093_c0_seq13.p1, Ssid_261093_c0_seq13.p2, Ssid_263547_c1_seq16.p1"
OG0000105,
OG0000106,"Ssid_230085_c0_seq2.p1, Ssid_258098_c0_seq1.p1, Ssid_260031_c0_seq1.p1"
OG0000107,"Ssid_163610_c0_seq1.p1, Ssid_225906_c1_seq1.p1, Ssid_232558_c0_seq1.p1, Ssid_239502_c0_seq1.p1, Ssid_260113_c0_seq5.p1, Ssid_262086_c1_seq1.p1"
OG0000108,Ssid_198103_c0_seq1.p1
OG0000109,"Ssid_229782_c0_seq1.p1, Ssid_254926_c0_seq1.p1, Ssid_256444_c0_seq7.p1, Ssid_256444_c0_seq7.p2, Ssid_260138_c0_seq9.p1, Ssid_261760_c0_seq3.p1, Ssid_261760_c2_seq1.p1"
OG0000110,"Ssid_193163_c0_seq1.p1, Ssid_357997_c0_seq1.p1"
OG0000111,Ssid_240778_c0_seq10.p1
OG0000112,
OG0000113,
OG0000114,"Ssid_181609_c0_seq2.p1, Ssid_213778_c0_seq2.p1, Ssid_247726_c0_seq1.p1, Ssid_249357_c0_seq3.p1, Ssid_256328_c0_seq2.p1, Ssid_258838_c0_seq6.p2, Ssid_261857_c0_seq2.p3, Ssid_263146_c0_seq1.p1, Ssid_263146_c0_seq1.p2, Ssid_369802_c0_seq1.p1"
OG0000115,"Ssid_188204_c0_seq1.p2, Ssid_19533_c0_seq1.p1, Ssid_218450_c0_seq2.p1, Ssid_79824_c0_seq1.p1"
OG0000116,"Ssid_223412_c0_seq2.p1, Ssid_241910_c0_seq1.p1, Ssid_251428_c0_seq2.p1, Ssid_251512_c0_seq6.p1, Ssid_251885_c0_seq3.p1, Ssid_256350_c1_seq7.p1, Ssid_258439_c0_seq4.p1, Ssid_261333_c0_seq3.p1, Ssid_262604_c2_seq2.p1"
OG0000117,"Ssid_253700_c1_seq3.p1, Ssid_253700_c1_seq3.p3, Ssid_254471_c0_seq5.p1, Ssid_263366_c0_seq3.p2"
OG0000118,"Ssid_191818_c0_seq1.p1, Ssid_212862_c0_seq1.p1, Ssid_256750_c3_seq12.p1"
OG0000119,"Ssid_187212_c0_seq1.p1, Ssid_253091_c0_seq1.p2, Ssid_263006_c1_seq1.p1"
OG0000120,"Ssid_249917_c0_seq1.p1, Ssid_262479_c2_seq1.p1"
OG0000121,"Ssid_253519_c1_seq19.p1, Ssid_256313_c1_seq1.p3"
OG0000122,
OG0000123,"Ssid_251638_c0_seq6.p1, Ssid_259844_c0_seq1.p1, Ssid_263195_c0_seq4.p1, Ssid_263195_c0_seq4.p2, Ssid_30299_c0_seq1.p1, Ssid_414828_c0_seq1.p1"
OG0000124,
OG0000125,"Ssid_251625_c0_seq7.p1, Ssid_251998_c0_seq2.p1, Ssid_254158_c1_seq1.p1, Ssid_260352_c0_seq6.p1"
OG0000126,"Ssid_171497_c0_seq1.p1, Ssid_171497_c0_seq1.p2, Ssid_244376_c1_seq1.p1, Ssid_392408_c0_seq1.p1"
OG0000127,
OG0000128,
OG0000129,"Ssid_225432_c0_seq12.p1, Ssid_234184_c0_seq1.p1, Ssid_261870_c0_seq8.p1"
OG0000130,"Ssid_186979_c0_seq1.p2, Ssid_255311_c0_seq1.p1, Ssid_259646_c0_seq3.p2, Ssid_263657_c0_seq2.p2, Ssid_263791_c0_seq1.p1"
OG0000131,"Ssid_217105_c0_seq1.p1, Ssid_221010_c0_seq1.p1, Ssid_241575_c0_seq3.p1, Ssid_241949_c0_seq4.p1, Ssid_246596_c0_seq2.p1, Ssid_254369_c0_seq3.p1, Ssid_260209_c0_seq2.p1, Ssid_260209_c0_seq2.p2"
OG0000132,"Ssid_184717_c0_seq1.p1, Ssid_226293_c0_seq1.p1, Ssid_262926_c0_seq3.p1, Ssid_35846_c0_seq1.p1, Ssid_367587_c0_seq1.p1"
OG0000133,
OG0000134,
OG0000135,
OG0000136,
OG0000137,"Ssid_189271_c0_seq1.p1, Ssid_242782_c0_seq2.p1, Ssid_255175_c1_seq6.p1"
OG0000138,
OG0000139,"Ssid_123874_c0_seq1.p1, Ssid_255146_c0_seq2.p1, Ssid_260293_c0_seq21.p1"
OG0000140,"Ssid_246971_c0_seq2.p1, Ssid_247266_c0_seq1.p1, Ssid_253582_c0_seq1.p1, Ssid_258233_c0_seq1.p1, Ssid_261310_c0_seq1.p1, Ssid_262276_c0_seq1.p1, Ssid_262276_c2_seq1.p1, Ssid_350724_c0_seq1.p1, Ssid_76491_c0_seq1.p1"
OG0000141,"Ssid_156481_c0_seq1.p2, Ssid_233825_c0_seq1.p3, Ssid_236840_c0_seq1.p1, Ssid_254415_c0_seq4.p2, Ssid_261505_c0_seq8.p1, Ssid_342775_c0_seq1.p1"
OG0000142,
OG0000143,
OG0000144,"Ssid_237364_c0_seq1.p1, Ssid_239712_c0_seq2.p1, Ssid_251541_c0_seq3.p1, Ssid_253556_c2_seq8.p1, Ssid_258786_c0_seq1.p1, Ssid_261355_c0_seq1.p1, Ssid_261355_c0_seq1.p2, Ssid_263590_c0_seq1.p1, Ssid_263590_c1_seq1.p1"
OG0000145,"Ssid_254335_c0_seq9.p1, Ssid_255190_c0_seq1.p1"
OG0000146,
OG0000147,"Ssid_160960_c0_seq1.p1, Ssid_177327_c0_seq2.p1, Ssid_257994_c0_seq36.p1, Ssid_319888_c0_seq1.p1, Ssid_93588_c0_seq1.p1"
OG0000148,"Ssid_235349_c0_seq1.p1, Ssid_235349_c0_seq1.p2, Ssid_240096_c0_seq1.p1, Ssid_257887_c0_seq5.p1, Ssid_260771_c1_seq2.p1, Ssid_36993_c0_seq1.p1, Ssid_377705_c0_seq1.p1"
OG0000149,Ssid_259502_c0_seq4.p2
OG0000150,"Ssid_237200_c0_seq1.p1, Ssid_255175_c1_seq6.p3, Ssid_258772_c0_seq1.p2"
OG0000151,"Ssid_249928_c0_seq1.p1, Ssid_258631_c1_seq8.p1, Ssid_262950_c0_seq1.p1"
OG0000152,
OG0000153,Ssid_263667_c0_seq6.p1
OG0000154,"Ssid_194678_c0_seq1.p1, Ssid_228419_c0_seq1.p1, Ssid_234296_c0_seq4.p1, Ssid_247571_c0_seq12.p1, Ssid_249177_c0_seq2.p1, Ssid_258173_c0_seq73.p2, Ssid_259591_c0_seq2.p1, Ssid_262868_c1_seq3.p2, Ssid_360221_c0_seq1.p1"
OG0000155,"Ssid_223344_c0_seq2.p1, Ssid_227679_c0_seq1.p1, Ssid_238060_c0_seq2.p1, Ssid_251165_c0_seq2.p1, Ssid_260579_c0_seq1.p1, Ssid_262228_c0_seq14.p1, Ssid_366851_c0_seq1.p1"
OG0000156,
OG0000157,
OG0000158,
OG0000159,Ssid_225507_c0_seq1.p2
OG0000160,
OG0000161,"Ssid_262682_c0_seq2.p2, Ssid_263765_c0_seq4.p1"
OG0000162,Ssid_251274_c0_seq20.p1
OG0000163,
OG0000164,"Ssid_245185_c0_seq6.p1, Ssid_262463_c0_seq1.p1"
OG0000165,
OG0000166,"Ssid_221750_c0_seq1.p1, Ssid_254525_c0_seq1.p1"
OG0000167,
OG0000168,Ssid_260281_c0_seq1.p1
OG0000169,Ssid_257285_c1_seq1.p1
OG0000170,"Ssid_174578_c0_seq1.p1, Ssid_216186_c0_seq1.p1, Ssid_225313_c0_seq3.p1, Ssid_250933_c0_seq1.p1, Ssid_255799_c1_seq1.p1"
OG0000171,"Ssid_256043_c0_seq13.p1, Ssid_256280_c0_seq4.p1, Ssid_258571_c0_seq18.p2, Ssid_261035_c1_seq3.p2, Ssid_261822_c0_seq4.p1, Ssid_263351_c0_seq1.p1"
OG0000172,"Ssid_179869_c0_seq1.p1, Ssid_255636_c0_seq2.p1, Ssid_257475_c0_seq6.p1, Ssid_259031_c0_seq1.p1, Ssid_263753_c0_seq1.p1"
OG0000173,"Ssid_230839_c0_seq2.p1, Ssid_29090_c0_seq1.p1"
OG0000174,"Ssid_238689_c0_seq1.p1, Ssid_255403_c1_seq2.p1"
OG0000175,"Ssid_131794_c0_seq1.p1, Ssid_243779_c0_seq1.p1, Ssid_256322_c0_seq1.p1"
OG0000176,
OG0000177,"Ssid_217635_c0_seq1.p1, Ssid_228634_c0_seq3.p1, Ssid_256831_c0_seq8.p1, Ssid_257383_c0_seq9.p2, Ssid_260090_c0_seq5.p1, Ssid_260090_c0_seq5.p2, Ssid_29889_c0_seq1.p1"
OG0000178,"Ssid_259103_c0_seq2.p1, Ssid_263044_c1_seq13.p1, Ssid_263061_c0_seq1.p1, Ssid_263285_c1_seq1.p1"
OG0000179,
OG0000180,
OG0000181,Ssid_242260_c0_seq2.p1
OG0000182,"Ssid_246225_c0_seq3.p1, Ssid_248201_c0_seq2.p1, Ssid_261458_c0_seq1.p1"
OG0000183,"Ssid_225649_c0_seq1.p1, Ssid_239384_c0_seq6.p1"
OG0000184,
OG0000185,"Ssid_223171_c0_seq1.p1, Ssid_239941_c0_seq1.p1, Ssid_247590_c0_seq4.p1, Ssid_249230_c0_seq3.p1"
