Orthogroup,Ofav_contig
OG0000105,"XP_020610774.1, XP_020610775.1, XP_020610782.1, XP_020610786.1, XP_020610797.1, XP_020610798.1, XP_020610799.1, XP_020610800.1, XP_020610801.1, XP_020613884.1, XP_020613885.1, XP_020616127.1"
OG0000106,"XP_020613969.1, XP_020619613.1, XP_020619662.1, XP_020619664.1, XP_020621678.1, XP_020622639.1, XP_020623243.1, XP_020624018.1, XP_020624019.1, XP_020625398.1, XP_020625407.1, XP_020625846.1, XP_020627723.1"
OG0000107,"XP_020604732.1, XP_020604758.1, XP_020627228.1, XP_020630922.1, XP_020630933.1, XP_020630943.1, XP_020630991.1"
OG0000108,
OG0000109,"XP_020603251.1, XP_020607254.1, XP_020607258.1, XP_020612286.1, XP_020619057.1, XP_020629576.1"
OG0000110,"XP_020600819.1, XP_020606504.1, XP_020608314.1, XP_020609423.1, XP_020612809.1, XP_020614003.1, XP_020617248.1, XP_020623980.1, XP_020629725.1, XP_020631816.1"
OG0000111,"XP_020620272.1, XP_020621558.1, XP_020624893.1, XP_020626215.1"
OG0000112,
OG0000113,XP_020615615.1
OG0000114,"XP_020627207.1, XP_020627846.1, XP_020629946.1"
OG0000115,"XP_020607778.1, XP_020610328.1"
OG0000116,"XP_020601532.1, XP_020601874.1, XP_020611658.1, XP_020616067.1, XP_020625264.1, XP_020625267.1, XP_020625280.1"
OG0000117,"XP_020608678.1, XP_020617887.1, XP_020620001.1"
OG0000118,"XP_020630565.1, XP_020630567.1, XP_020630568.1, XP_020630698.1"
OG0000119,"XP_020620288.1, XP_020622130.1, XP_020629938.1, XP_020629955.1, XP_020629958.1"
OG0000120,"XP_020608746.1, XP_020608747.1, XP_020612097.1, XP_020612677.1, XP_020618191.1, XP_020621156.1, XP_020621162.1, XP_020622777.1, XP_020622780.1, XP_020622807.1, XP_020626076.1, XP_020627440.1, XP_020628492.1, XP_020628493.1"
OG0000121,"XP_020607321.1, XP_020612422.1, XP_020612423.1, XP_020627815.1, XP_020629457.1"
OG0000122,
OG0000123,"XP_020602463.1, XP_020606020.1, XP_020606087.1, XP_020606088.1, XP_020606089.1, XP_020622215.1, XP_020622225.1"
OG0000124,"XP_020607845.1, XP_020608791.1, XP_020618393.1, XP_020618400.1, XP_020619416.1, XP_020620277.1, XP_020620279.1, XP_020620280.1, XP_020627706.1, XP_020627844.1, XP_020627858.1"
OG0000125,"XP_020608997.1, XP_020610742.1, XP_020613056.1, XP_020622931.1"
OG0000126,"XP_020623899.1, XP_020626399.1"
OG0000127,XP_020601391.1
OG0000128,
OG0000129,"XP_020623526.1, XP_020623527.1, XP_020625030.1, XP_020626822.1"
OG0000130,"XP_020607911.1, XP_020616651.1"
OG0000131,"XP_020617773.1, XP_020618234.1, XP_020618275.1, XP_020618277.1, XP_020618278.1, XP_020618371.1"
OG0000132,XP_020614960.1
OG0000133,"XP_020602083.1, XP_020602097.1, XP_020615557.1, XP_020621379.1"
OG0000134,"XP_020613044.1, XP_020621187.1, XP_020621205.1, XP_020627577.1, XP_020630041.1"
OG0000135,"XP_020606744.1, XP_020606781.1, XP_020626681.1, XP_020626711.1, XP_020626712.1, XP_020626726.1"
OG0000136,"XP_020601369.1, XP_020602449.1, XP_020611816.1, XP_020611937.1, XP_020613041.1, XP_020614949.1, XP_020615509.1, XP_020615517.1, XP_020618852.1, XP_020620972.1, XP_020622251.1, XP_020625501.1, XP_020625566.1"
OG0000137,"XP_020601358.1, XP_020620827.1, XP_020621169.1, XP_020621663.1, XP_020622555.1"
OG0000138,
OG0000139,
OG0000140,"XP_020601882.1, XP_020626575.1, XP_020626598.1, XP_020626599.1, XP_020626620.1, XP_020626622.1, XP_020626628.1"
OG0000141,"XP_020610210.1, XP_020620978.1, XP_020627140.1, XP_020628561.1, XP_020629985.1"
OG0000142,
OG0000143,"XP_020618394.1, XP_020630060.1"
OG0000144,XP_020624348.1
OG0000145,"XP_020606897.1, XP_020607073.1, XP_020607075.1, XP_020607079.1, XP_020607080.1, XP_020610682.1, XP_020610724.1, XP_020616747.1, XP_020616762.1, XP_020621495.1, XP_020621514.1"
OG0000146,"XP_020614238.1, XP_020631377.1, XP_020631379.1, XP_020631494.1, XP_020631495.1, XP_020631498.1, XP_020631499.1, XP_020631500.1, XP_020631501.1, XP_020631503.1, XP_020631505.1, XP_020631511.1, XP_020631513.1, XP_020631514.1, XP_020631515.1, XP_020631516.1, XP_020631519.1, XP_020631520.1, XP_020631521.1, XP_020631522.1, XP_020631523.1, XP_020631534.1, XP_020631535.1, XP_020631536.1, XP_020631541.1, XP_020631542.1, XP_020631545.1, XP_020631733.1, XP_020632774.1"
OG0000147,
OG0000148,"XP_020603164.1, XP_020603165.1, XP_020603166.1, XP_020603180.1, XP_020610588.1, XP_020615502.1, XP_020621592.1, XP_020623828.1, XP_020623829.1, XP_020623830.1, XP_020632204.1, XP_020632215.1"
OG0000149,"XP_020611284.1, XP_020611285.1, XP_020611286.1, XP_020611948.1, XP_020616779.1"
OG0000150,XP_020631308.1
OG0000151,"XP_020612211.1, XP_020612212.1, XP_020618038.1, XP_020618049.1, XP_020618050.1"
OG0000152,"XP_020601166.1, XP_020601644.1, XP_020603349.1, XP_020609262.1, XP_020630387.1, XP_020630492.1"
OG0000153,
OG0000154,"XP_020620756.1, XP_020624450.1, XP_020629283.1"
OG0000155,XP_020617585.1
OG0000156,"XP_020604970.1, XP_020612424.1, XP_020612897.1, XP_020614611.1, XP_020614612.1, XP_020614613.1, XP_020616445.1, XP_020619800.1, XP_020623345.1"
OG0000157,
OG0000158,
OG0000159,"XP_020610813.1, XP_020631868.1, XP_020632899.1"
OG0000160,
OG0000161,
OG0000162,"XP_020603643.1, XP_020608654.1, XP_020612756.1, XP_020613389.1, XP_020613548.1, XP_020613628.1, XP_020613630.1, XP_020613840.1, XP_020613869.1, XP_020629086.1"
OG0000163,"XP_020616981.1, XP_020617082.1, XP_020617191.1, XP_020617208.1, XP_020617238.1, XP_020617252.1, XP_020617260.1, XP_020617270.1, XP_020617278.1, XP_020617352.1, XP_020617567.1, XP_020617650.1, XP_020623351.1, XP_020623353.1"
OG0000164,"XP_020602065.1, XP_020602066.1, XP_020602067.1, XP_020602109.1, XP_020605501.1, XP_020605505.1, XP_020605508.1, XP_020615310.1, XP_020615319.1, XP_020615335.1, XP_020615336.1, XP_020626682.1, XP_020626715.1"
OG0000165,
OG0000166,"XP_020603756.1, XP_020603808.1, XP_020605544.1, XP_020605643.1, XP_020610738.1, XP_020617939.1, XP_020624861.1"
OG0000167,XP_020623185.1
OG0000168,"XP_020611387.1, XP_020614785.1, XP_020617511.1, XP_020617752.1, XP_020617822.1, XP_020621077.1, XP_020622634.1, XP_020622649.1, XP_020622653.1, XP_020630898.1"
OG0000169,XP_020623221.1
OG0000170,"XP_020618720.1, XP_020618807.1, XP_020618808.1, XP_020628673.1, XP_020628715.1, XP_020628717.1"
OG0000171,"XP_020604696.1, XP_020605296.1, XP_020608601.1, XP_020616116.1, XP_020629330.1"
OG0000172,XP_020610059.1
OG0000173,"XP_020602239.1, XP_020632226.1"
OG0000174,"XP_020605223.1, XP_020605259.1, XP_020622250.1"
OG0000175,"XP_020609951.1, XP_020609952.1, XP_020610083.1, XP_020610092.1, XP_020610105.1"
OG0000176,"XP_020608165.1, XP_020608167.1, XP_020608168.1, XP_020608169.1, XP_020608170.1, XP_020608184.1, XP_020610523.1, XP_020625814.1"
OG0000177,"XP_020622144.1, XP_020623750.1, XP_020623751.1"
OG0000178,"XP_020606861.1, XP_020613014.1, XP_020613329.1, XP_020613333.1, XP_020627705.1"
OG0000179,"XP_020605082.1, XP_020612434.1, XP_020629503.1"
OG0000180,"XP_020602159.1, XP_020605798.1, XP_020611041.1, XP_020611043.1, XP_020611054.1, XP_020611123.1, XP_020617618.1, XP_020618672.1, XP_020621954.1, XP_020622040.1, XP_020624161.1, XP_020626503.1, XP_020626661.1"
OG0000181,"XP_020618759.1, XP_020620923.1, XP_020620925.1, XP_020620926.1, XP_020620927.1, XP_020622006.1, XP_020622007.1, XP_020622043.1"
OG0000182,"XP_020600754.1, XP_020611626.1, XP_020612818.1, XP_020612906.1"
OG0000183,
OG0000184,
OG0000185,"XP_020608501.1, XP_020608551.1, XP_020609703.1, XP_020612540.1, XP_020615457.1, XP_020628620.1, XP_020628723.1, XP_020632257.1"
OG0000186,"XP_020612249.1, XP_020612276.1, XP_020612389.1, XP_020612390.1, XP_020612393.1, XP_020630208.1"
OG0000187,"XP_020607796.1, XP_020618486.1, XP_020626555.1"
OG0000188,
OG0000189,"XP_020625889.1, XP_020625890.1, XP_020629492.1"
OG0000190,"XP_020601429.1, XP_020602788.1, XP_020602918.1, XP_020614435.1"
OG0000191,"XP_020601426.1, XP_020615958.1, XP_020617244.1, XP_020625285.1"
OG0000192,"XP_020608721.1, XP_020608731.1, XP_020618134.1, XP_020618154.1, XP_020618271.1, XP_020618356.1, XP_020618359.1, XP_020618381.1, XP_020627738.1, XP_020627739.1, XP_020627750.1"
OG0000193,"XP_020605081.1, XP_020610128.1, XP_020610129.1, XP_020615576.1, XP_020631189.1"
OG0000194,
OG0000195,"XP_020614041.1, XP_020619673.1, XP_020629564.1, XP_020630781.1"
OG0000196,"XP_020602085.1, XP_020602138.1, XP_020602139.1, XP_020602945.1, XP_020603834.1, XP_020604677.1, XP_020606762.1, XP_020606763.1, XP_020606803.1, XP_020607221.1, XP_020608235.1, XP_020609381.1, XP_020612228.1, XP_020615043.1, XP_020625643.1, XP_020625812.1, XP_020631441.1, XP_020631869.1, XP_020631933.1, XP_020631934.1, XP_020631935.1, XP_020632177.1, XP_020632773.1"
OG0000197,"XP_020602127.1, XP_020602131.1, XP_020602612.1, XP_020609781.1, XP_020609799.1, XP_020609855.1, XP_020609945.1, XP_020609946.1, XP_020614287.1, XP_020614374.1, XP_020615906.1, XP_020617973.1, XP_020623024.1"
OG0000198,"XP_020600966.1, XP_020600967.1, XP_020613246.1, XP_020613256.1, XP_020623150.1, XP_020624075.1, XP_020626519.1, XP_020626535.1, XP_020626538.1, XP_020626552.1, XP_020626587.1, XP_020626588.1, XP_020626595.1, XP_020626597.1, XP_020626634.1, XP_020626656.1"
OG0000199,"XP_020613040.1, XP_020631351.1"
OG0000200,
OG0000201,
OG0000202,"XP_020604810.1, XP_020606655.1, XP_020606657.1, XP_020607506.1, XP_020608363.1, XP_020610641.1, XP_020610643.1, XP_020615315.1, XP_020615320.1, XP_020616934.1, XP_020616947.1, XP_020619886.1, XP_020621990.1, XP_020624464.1, XP_020626865.1, XP_020630144.1"
OG0000203,
OG0000204,"XP_020613163.1, XP_020613167.1, XP_020626739.1"
OG0000205,"XP_020603975.1, XP_020603988.1, XP_020603989.1, XP_020603990.1, XP_020604016.1, XP_020624013.1, XP_020629658.1, XP_020629659.1"
OG0000206,XP_020614000.1
OG0000207,"XP_020601127.1, XP_020601131.1, XP_020606838.1, XP_020627413.1, XP_020628110.1"
OG0000208,"XP_020600953.1, XP_020607552.1, XP_020609564.1, XP_020609572.1, XP_020609573.1, XP_020609591.1, XP_020617465.1, XP_020628698.1"
OG0000209,"XP_020614048.1, XP_020614051.1"
OG0000210,"XP_020608683.1, XP_020608710.1, XP_020609020.1, XP_020609051.1, XP_020613096.1"
OG0000211,"XP_020604572.1, XP_020604706.1, XP_020604818.1, XP_020604821.1, XP_020604848.1, XP_020605520.1, XP_020605523.1, XP_020607323.1, XP_020612110.1, XP_020612142.1, XP_020614808.1, XP_020617886.1, XP_020619697.1, XP_020621675.1, XP_020622994.1, XP_020622996.1, XP_020626790.1"
OG0000212,"XP_020602185.1, XP_020602215.1, XP_020602217.1, XP_020604107.1, XP_020615234.1, XP_020615236.1, XP_020617905.1, XP_020629395.1, XP_020631174.1, XP_020631176.1, XP_020631178.1, XP_020631181.1"
OG0000213,"XP_020602644.1, XP_020602743.1, XP_020602797.1, XP_020620415.1, XP_020621892.1, XP_020621894.1"
OG0000214,"XP_020600583.1, XP_020600594.1, XP_020601171.1, XP_020601290.1, XP_020617326.1, XP_020631524.1"
OG0000215,"XP_020615285.1, XP_020615286.1, XP_020615287.1, XP_020617904.1, XP_020624433.1, XP_020624435.1, XP_020631179.1, XP_020631452.1"
OG0000216,XP_020611325.1
OG0000217,"XP_020602011.1, XP_020602031.1, XP_020605671.1, XP_020606573.1, XP_020606616.1, XP_020607438.1, XP_020608996.1, XP_020609489.1, XP_020613157.1, XP_020615828.1, XP_020615915.1, XP_020616314.1, XP_020616417.1, XP_020616812.1, XP_020619302.1, XP_020619993.1, XP_020620214.1, XP_020620311.1, XP_020624832.1, XP_020625829.1, XP_020626018.1, XP_020626021.1, XP_020626044.1, XP_020627208.1, XP_020627257.1, XP_020627641.1"
OG0000218,
OG0000219,XP_020618369.1
OG0000220,"XP_020600429.1, XP_020616956.1, XP_020627983.1, XP_020627991.1"
OG0000221,
OG0000222,
OG0000223,
OG0000224,"XP_020623972.1, XP_020625286.1, XP_020626475.1"
OG0000225,XP_020624110.1
OG0000226,
OG0000227,"XP_020608469.1, XP_020611645.1, XP_020620341.1, XP_020623482.1"
