Orthogroup,Mcav_No_isos
OG0000015,"Mcav_10175_c23_g1_i1.p1, Mcav_10640_c0_g1_i1.p1, Mcav_11332_c0_g1_i1.p1, Mcav_18440_c0_g1_i1.p1, Mcav_24702_c4_g1_i1.p1, Mcav_26231_c0_g1_i1.p1, Mcav_26617_c0_g1_i1.p1, Mcav_26795_c213_g1_i1.p1, Mcav_28379_c0_g1_i1.p1, Mcav_29234_c9_g1_i1.p1, Mcav_33989_c1_g1_i1.p1, Mcav_35863_c13_g1_i1.p1, Mcav_36323_c59_g1_i1.p1, Mcav_36501_c0_g1_i1.p1, Mcav_36750_c2_g1_i1.p1, Mcav_3803_c0_g1_i1.p3, Mcav_38525_c41_g2_i1.p5, Mcav_49829_c2_g1_i1.p1, Mcav_51830_c0_g1_i1.p1, Mcav_55296_c2_g1_i1.p1, Mcav_56109_c1_g1_i1.p1, Mcav_56606_c2_g1_i1.p1, Mcav_59450_c0_g1_i1.p2, Mcav_6649_c0_g1_i1.p2"
OG0000016,"Mcav_10204_c4_g1_i1.p1, Mcav_10204_c4_g1_i2.p1, Mcav_13005_c0_g1_i1.p1, Mcav_13012_c0_g1_i1.p1, Mcav_13022_c0_g1_i1.p1, Mcav_17958_c0_g1_i1.p1, Mcav_17961_c0_g1_i1.p1, Mcav_18109_c0_g1_i1.p1, Mcav_18118_c1_g1_i1.p1, Mcav_18756_c0_g2_i1.p1, Mcav_20051_c12_g1_i1.p1, Mcav_24468_c3_g1_i1.p1, Mcav_24954_c3_g1_i1.p1, Mcav_25003_c1_g1_i1.p1, Mcav_25009_c0_g1_i1.p1, Mcav_25024_c0_g1_i1.p1, Mcav_25024_c1_g1_i1.p1, Mcav_28025_c56_g1_i1.p1, Mcav_28517_c3_g1_i1.p1, Mcav_3688_c9_g1_i1.p1, Mcav_38703_c6_g1_i1.p1, Mcav_41385_c0_g1_i1.p1, Mcav_41841_c20_g1_i1.p1, Mcav_41841_c20_g1_i5.p1, Mcav_43099_c4_g1_i1.p1, Mcav_52094_c0_g1_i1.p1, Mcav_52216_c0_g1_i1.p1, Mcav_53070_c3_g1_i1.p2, Mcav_53532_c0_g1_i1.p1, Mcav_53780_c0_g1_i1.p1, Mcav_7766_c0_g1_i1.p1, Mcav_7767_c4_g1_i3.p1, Mcav_7795_c4_g1_i1.p1, Mcav_7795_c6_g1_i3.p1, Mcav_7795_c6_g1_i5.p1"
OG0000017,
OG0000018,"Mcav_30580_c4_g1_i1.p1, Mcav_33471_c4_g1_i1.p1, Mcav_33471_c5_g1_i1.p1, Mcav_39366_c33_g1_i1.p1, Mcav_39366_c37_g1_i1.p1, Mcav_55905_c4_g1_i1.p1, Mcav_56305_c57_g1_i2.p1, Mcav_56305_c58_g1_i1.p1, Mcav_56305_c60_g1_i1.p1, Mcav_56305_c61_g1_i1.p1, Mcav_60718_c2_g1_i1.p1, Mcav_60719_c1_g1_i1.p1"
OG0000019,"Mcav_11057_c10_g1_i2.p1, Mcav_12519_c3_g1_i1.p1, Mcav_15117_c32_g1_i1.p1, Mcav_22367_c0_g1_i1.p1, Mcav_22369_c3_g1_i1.p1, Mcav_22372_c1_g1_i1.p1, Mcav_23603_c0_g1_i1.p1, Mcav_23611_c0_g1_i2.p1, Mcav_26574_c26_g1_i1.p1, Mcav_27084_c0_g1_i1.p1, Mcav_28075_c3_g1_i1.p1, Mcav_40699_c0_g1_i1.p1, Mcav_42517_c0_g1_i1.p1, Mcav_45152_c0_g1_i1.p1, Mcav_47221_c1_g1_i1.p1, Mcav_48304_c17_g1_i1.p1, Mcav_48478_c0_g1_i1.p1, Mcav_52282_c24_g1_i1.p1, Mcav_52521_c0_g1_i2.p1, Mcav_53120_c0_g1_i2.p1, Mcav_56104_c0_g1_i1.p1, Mcav_5634_c36_g1_i2.p1, Mcav_5634_c44_g1_i13.p1, Mcav_59037_c1_g1_i1.p1"
OG0000020,"Mcav_17904_c0_g1_i1.p1, Mcav_19830_c1_g1_i1.p2, Mcav_20023_c1_g1_i1.p1, Mcav_20657_c0_g1_i1.p1, Mcav_21785_c12_g1_i1.p1, Mcav_22258_c0_g1_i1.p1, Mcav_22260_c1_g1_i2.p1, Mcav_22264_c3_g1_i1.p2, Mcav_22890_c1_g1_i1.p1, Mcav_23849_c0_g1_i1.p1, Mcav_24036_c0_g1_i1.p1, Mcav_25077_c0_g1_i1.p1, Mcav_25077_c1_g1_i1.p3, Mcav_25391_c0_g1_i1.p2, Mcav_25391_c0_g1_i3.p1, Mcav_25391_c0_g1_i4.p5, Mcav_27799_c9_g1_i1.p1, Mcav_28148_c0_g1_i1.p2, Mcav_2921_c0_g1_i1.p2, Mcav_3106_c0_g1_i1.p1, Mcav_31305_c0_g1_i1.p1, Mcav_31837_c0_g1_i1.p1, Mcav_33297_c0_g1_i1.p1, Mcav_33927_c1_g2_i1.p1, Mcav_36961_c0_g1_i1.p1, Mcav_37606_c0_g1_i1.p1, Mcav_41784_c9_g1_i1.p3, Mcav_4915_c0_g1_i1.p1, Mcav_50464_c0_g1_i1.p1, Mcav_51391_c0_g1_i1.p1, Mcav_53567_c11_g1_i1.p1, Mcav_56833_c3_g1_i1.p1, Mcav_5722_c1_g1_i1.p2, Mcav_57323_c0_g1_i1.p1, Mcav_57837_c0_g1_i1.p1, Mcav_58199_c0_g1_i1.p2, Mcav_59785_c0_g1_i1.p1, Mcav_62028_c0_g1_i1.p1, Mcav_6518_c0_g1_i1.p2, Mcav_7221_c0_g1_i1.p1, Mcav_8892_c0_g1_i1.p1"
OG0000021,"Mcav_10642_c13_g1_i1.p1, Mcav_11327_c1_g1_i1.p1, Mcav_11330_c18_g1_i1.p1, Mcav_12425_c0_g1_i1.p1, Mcav_14024_c36_g1_i1.p1, Mcav_17104_c0_g1_i1.p1, Mcav_20289_c4_g1_i1.p1, Mcav_21777_c15_g1_i1.p1, Mcav_21791_c2_g1_i1.p1, Mcav_22376_c10_g1_i1.p1, Mcav_22536_c0_g1_i1.p1, Mcav_24019_c7_g1_i1.p1, Mcav_26364_c14_g1_i1.p1, Mcav_27209_c2_g1_i1.p1, Mcav_27898_c7_g1_i1.p1, Mcav_28337_c3_g1_i1.p1, Mcav_28664_c21_g1_i1.p1, Mcav_29987_c8_g2_i1.p1, Mcav_34728_c24_g1_i1.p1, Mcav_36256_c4_g1_i1.p1, Mcav_37104_c0_g1_i1.p1, Mcav_37155_c0_g1_i1.p1, Mcav_38687_c15_g1_i1.p2, Mcav_38687_c4_g1_i1.p1, Mcav_39167_c0_g1_i1.p1, Mcav_42030_c24_g1_i2.p1, Mcav_45026_c4_g1_i1.p2, Mcav_46049_c0_g1_i1.p1, Mcav_47552_c5_g1_i1.p1, Mcav_48348_c13_g1_i1.p2, Mcav_50666_c8_g4_i1.p1, Mcav_53278_c0_g1_i1.p1, Mcav_53736_c3_g2_i1.p1, Mcav_56352_c1_g1_i1.p1, Mcav_56352_c4_g1_i1.p1, Mcav_59540_c14_g1_i1.p1, Mcav_6048_c79_g1_i1.p1, Mcav_876_c0_g1_i1.p1"
OG0000022,"Mcav_15662_c1_g1_i1.p1, Mcav_17192_c0_g1_i1.p1, Mcav_22646_c0_g1_i1.p1, Mcav_2428_c0_g1_i1.p1, Mcav_32385_c0_g1_i1.p1, Mcav_32392_c0_g1_i1.p1, Mcav_33401_c0_g1_i1.p2, Mcav_35250_c0_g1_i1.p1, Mcav_44547_c0_g1_i1.p1, Mcav_44564_c0_g1_i1.p1, Mcav_44781_c0_g1_i1.p1, Mcav_45568_c0_g1_i1.p1, Mcav_45573_c0_g1_i1.p1, Mcav_45588_c0_g1_i1.p1, Mcav_5001_c0_g1_i1.p1, Mcav_55629_c0_g1_i1.p1, Mcav_55632_c0_g1_i1.p1, Mcav_60305_c1_g1_i1.p1, Mcav_8851_c3_g1_i1.p1, Mcav_8860_c0_g1_i1.p1, Mcav_8866_c0_g1_i1.p1, Mcav_9183_c2_g2_i1.p2"
OG0000023,
OG0000024,"Mcav_1426_c2_g1_i7.p1, Mcav_16602_c2_g1_i1.p2, Mcav_2239_c1_g1_i1.p1, Mcav_28919_c87_g1_i1.p1, Mcav_43488_c0_g1_i1.p1, Mcav_43488_c1_g1_i2.p1, Mcav_43488_c1_g1_i3.p1, Mcav_43514_c0_g1_i1.p1, Mcav_4600_c0_g1_i1.p1, Mcav_4600_c4_g1_i1.p1, Mcav_56760_c39_g1_i1.p1, Mcav_6155_c3_g1_i1.p1"
OG0000025,"Mcav_12688_c4_g1_i1.p1, Mcav_16709_c0_g1_i2.p1, Mcav_21675_c4_g1_i1.p1, Mcav_21836_c0_g1_i1.p1, Mcav_21847_c1_g1_i2.p1, Mcav_24305_c0_g1_i1.p1, Mcav_27420_c0_g1_i1.p1, Mcav_28075_c13_g1_i3.p2, Mcav_28589_c1_g1_i2.p1, Mcav_29590_c0_g1_i1.p1, Mcav_29978_c1_g1_i1.p1, Mcav_30419_c10_g1_i2.p1, Mcav_37558_c0_g1_i1.p1, Mcav_37558_c0_g1_i2.p1, Mcav_38019_c0_g1_i1.p1, Mcav_40459_c0_g1_i1.p1, Mcav_40698_c2_g1_i1.p1, Mcav_40698_c3_g1_i2.p1, Mcav_40726_c3_g1_i1.p1, Mcav_40726_c3_g1_i2.p1, Mcav_40727_c1_g1_i2.p2, Mcav_40727_c1_g2_i3.p1, Mcav_40727_c1_g2_i4.p1, Mcav_41655_c0_g1_i2.p1, Mcav_42710_c7_g1_i1.p1, Mcav_42710_c7_g1_i2.p1, Mcav_42710_c7_g2_i1.p1, Mcav_42710_c7_g3_i1.p1, Mcav_42717_c0_g1_i1.p1, Mcav_42717_c5_g1_i1.p1, Mcav_42772_c0_g1_i1.p1, Mcav_43015_c0_g1_i2.p2, Mcav_43051_c0_g1_i3.p1, Mcav_44379_c0_g1_i1.p1, Mcav_47477_c12_g1_i2.p1, Mcav_48304_c6_g1_i1.p1, Mcav_49515_c0_g1_i1.p1, Mcav_51533_c13_g1_i1.p1, Mcav_52282_c24_g2_i2.p1, Mcav_53195_c28_g1_i11.p1, Mcav_53615_c2_g1_i4.p1, Mcav_54607_c0_g2_i1.p1, Mcav_55084_c0_g1_i1.p1, Mcav_55103_c0_g1_i1.p1, Mcav_56105_c0_g1_i2.p1, Mcav_56276_c13_g1_i3.p1, Mcav_56276_c13_g1_i5.p1, Mcav_59578_c1_g1_i1.p1, Mcav_59789_c2_g1_i2.p1, Mcav_59789_c2_g1_i3.p1, Mcav_59796_c0_g1_i1.p1, Mcav_6354_c30_g3_i8.p1, Mcav_6524_c20_g1_i1.p1, Mcav_6524_c20_g1_i4.p1, Mcav_8305_c1_g1_i5.p1"
OG0000026,"Mcav_1232_c30_g1_i1.p1, Mcav_1232_c30_g2_i1.p1, Mcav_16188_c19_g1_i4.p1, Mcav_25286_c1_g1_i1.p1, Mcav_25294_c6_g1_i1.p1, Mcav_26334_c9_g1_i1.p1, Mcav_29264_c11_g1_i5.p1, Mcav_57026_c0_g1_i1.p1, Mcav_57032_c2_g1_i1.p1, Mcav_57033_c10_g1_i1.p1, Mcav_57034_c0_g1_i1.p1, Mcav_8009_c0_g1_i1.p1"
OG0000027,"Mcav_12526_c0_g1_i1.p2, Mcav_13161_c0_g1_i1.p1, Mcav_14817_c13_g1_i3.p1, Mcav_16197_c6_g1_i1.p1, Mcav_19704_c45_g1_i1.p1, Mcav_22660_c1_g1_i1.p1, Mcav_23674_c13_g1_i1.p1, Mcav_24435_c6_g1_i1.p1, Mcav_30834_c1_g2_i1.p1, Mcav_3231_c0_g1_i1.p1, Mcav_32871_c1_g1_i1.p1, Mcav_33971_c0_g1_i1.p1, Mcav_34725_c13_g1_i1.p1, Mcav_35005_c50_g1_i7.p4, Mcav_35055_c2_g1_i1.p1, Mcav_35850_c2_g1_i1.p1, Mcav_36709_c0_g1_i1.p1, Mcav_37149_c1_g1_i1.p1, Mcav_37252_c2_g2_i1.p1, Mcav_39416_c99_g3_i1.p1, Mcav_4058_c2_g1_i1.p1, Mcav_43339_c0_g1_i1.p1, Mcav_45291_c0_g1_i1.p1, Mcav_45583_c3_g1_i1.p1, Mcav_46483_c3_g1_i1.p1, Mcav_49527_c2_g1_i1.p1, Mcav_51164_c4_g1_i1.p1, Mcav_52078_c0_g1_i1.p1, Mcav_54376_c1_g1_i1.p1, Mcav_5450_c14_g1_i1.p2, Mcav_54623_c2_g1_i1.p1, Mcav_54808_c23_g1_i1.p1, Mcav_55415_c39_g1_i11.p2, Mcav_56545_c94_g1_i1.p2, Mcav_56915_c1_g1_i1.p1, Mcav_57515_c15_g1_i3.p2, Mcav_58337_c19_g1_i1.p1, Mcav_6340_c2_g1_i1.p1, Mcav_9066_c1_g1_i1.p1"
