OG,Ssid_longest_proteome
OG0000024,"Ssid_DN102599_c0_seq2.p1, Ssid_DN147185_c0_seq1.p1, Ssid_DN234387_c0_seq1.p1, Ssid_DN241775_c0_seq1.p1, Ssid_DN246974_c0_seq1.p1, Ssid_DN257682_c0_seq2.p1, Ssid_DN257682_c0_seq2.p2, Ssid_DN258289_c0_seq1.p1, Ssid_DN258988_c1_seq1.p1, Ssid_DN261962_c0_seq1.p1, Ssid_DN262760_c1_seq1.p1, Ssid_DN262760_c1_seq1.p2, Ssid_DN381032_c0_seq1.p1, Ssid_DN403020_c0_seq1.p1, Ssid_DN94054_c0_seq1.p1, Ssid_DN94424_c0_seq1.p1"
OG0000025,"Ssid_DN191217_c0_seq1.p1, Ssid_DN211472_c0_seq1.p1, Ssid_DN239461_c0_seq1.p1, Ssid_DN242854_c0_seq1.p1, Ssid_DN244472_c0_seq1.p1, Ssid_DN2586_c0_seq1.p1, Ssid_DN260684_c1_seq6.p1, Ssid_DN261197_c0_seq2.p1, Ssid_DN264103_c0_seq1.p1, Ssid_DN293714_c0_seq1.p1"
OG0000026,"Ssid_DN262721_c1_seq4.p2, Ssid_DN263145_c0_seq2.p2"
OG0000027,"Ssid_DN226444_c0_seq1.p1, Ssid_DN252200_c0_seq7.p1, Ssid_DN258912_c0_seq1.p1, Ssid_DN259929_c0_seq5.p1"
OG0000028,
OG0000029,Ssid_DN240646_c0_seq11.p1
OG0000030,"Ssid_DN125399_c0_seq1.p1, Ssid_DN241239_c0_seq1.p1, Ssid_DN241296_c0_seq3.p1, Ssid_DN252664_c0_seq14.p1, Ssid_DN252863_c0_seq2.p1, Ssid_DN254772_c0_seq2.p1, Ssid_DN256672_c1_seq1.p1, Ssid_DN262426_c0_seq2.p3, Ssid_DN263457_c0_seq3.p2"
OG0000031,
OG0000032,Ssid_DN80108_c0_seq1.p1
OG0000033,"Ssid_DN146870_c0_seq1.p1, Ssid_DN191818_c0_seq1.p1, Ssid_DN212862_c0_seq1.p1, Ssid_DN238671_c0_seq1.p1, Ssid_DN246869_c0_seq1.p1, Ssid_DN254066_c0_seq3.p1, Ssid_DN256750_c3_seq12.p1"
OG0000034,"Ssid_DN204273_c0_seq1.p1, Ssid_DN236730_c0_seq3.p1, Ssid_DN239647_c0_seq4.p1, Ssid_DN240899_c0_seq1.p1, Ssid_DN249469_c0_seq1.p1, Ssid_DN252896_c0_seq1.p1, Ssid_DN255587_c0_seq1.p1, Ssid_DN255765_c1_seq1.p1, Ssid_DN261030_c0_seq3.p1, Ssid_DN261989_c0_seq1.p1, Ssid_DN262135_c1_seq1.p1, Ssid_DN262135_c1_seq1.p2"
OG0000035,"Ssid_DN238836_c0_seq7.p1, Ssid_DN244293_c0_seq2.p1, Ssid_DN249852_c0_seq2.p1, Ssid_DN250787_c0_seq1.p2, Ssid_DN256730_c0_seq11.p1, Ssid_DN262264_c0_seq8.p1"
OG0000036,"Ssid_DN205425_c0_seq2.p1, Ssid_DN228949_c0_seq2.p1, Ssid_DN229457_c0_seq2.p1, Ssid_DN229971_c0_seq1.p1, Ssid_DN246104_c0_seq1.p1, Ssid_DN247563_c0_seq1.p1, Ssid_DN247563_c0_seq1.p2, Ssid_DN252094_c0_seq1.p1, Ssid_DN252421_c0_seq3.p1, Ssid_DN255134_c0_seq1.p1"
OG0000037,"Ssid_DN124399_c0_seq2.p1, Ssid_DN189367_c0_seq1.p1, Ssid_DN192046_c0_seq1.p1"
OG0000038,"Ssid_DN245195_c0_seq4.p1, Ssid_DN247642_c0_seq8.p1, Ssid_DN247642_c0_seq8.p2, Ssid_DN249635_c0_seq3.p1"
OG0000039,"Ssid_DN182246_c0_seq1.p1, Ssid_DN259480_c1_seq2.p1, Ssid_DN259480_c2_seq3.p1"
OG0000040,"Ssid_DN187212_c0_seq1.p1, Ssid_DN233451_c0_seq2.p2, Ssid_DN253091_c0_seq1.p2, Ssid_DN262942_c0_seq2.p2, Ssid_DN263006_c1_seq1.p1"
OG0000041,"Ssid_DN198975_c0_seq1.p1, Ssid_DN214868_c0_seq1.p1, Ssid_DN234841_c0_seq2.p1, Ssid_DN239023_c0_seq1.p1, Ssid_DN240072_c0_seq3.p1, Ssid_DN252734_c0_seq2.p1, Ssid_DN259817_c0_seq4.p1, Ssid_DN3045_c0_seq1.p1"
OG0000042,
OG0000043,"Ssid_DN181369_c0_seq1.p1, Ssid_DN225507_c0_seq1.p1, Ssid_DN263724_c1_seq3.p2"
OG0000044,"Ssid_DN163236_c0_seq3.p1, Ssid_DN17214_c0_seq1.p1, Ssid_DN175584_c0_seq3.p2, Ssid_DN246847_c0_seq1.p1, Ssid_DN249147_c0_seq1.p1, Ssid_DN253477_c0_seq4.p1, Ssid_DN260238_c0_seq1.p1, Ssid_DN399853_c0_seq1.p1, Ssid_DN411732_c0_seq1.p1, Ssid_DN49142_c0_seq1.p1"
OG0000045,"Ssid_DN205537_c0_seq2.p3, Ssid_DN223171_c0_seq1.p1, Ssid_DN239941_c0_seq1.p1, Ssid_DN247590_c0_seq4.p1, Ssid_DN249230_c0_seq3.p1, Ssid_DN258249_c0_seq2.p1"
OG0000046,"Ssid_DN160960_c0_seq1.p1, Ssid_DN177327_c0_seq2.p1, Ssid_DN319888_c0_seq1.p1, Ssid_DN93588_c0_seq1.p1"
OG0000047,"Ssid_DN177600_c0_seq2.p1, Ssid_DN213046_c0_seq1.p1, Ssid_DN261699_c2_seq1.p1, Ssid_DN357608_c0_seq1.p1"
OG0000048,
OG0000049,
OG0000050,"Ssid_DN186048_c0_seq1.p1, Ssid_DN209296_c0_seq1.p1, Ssid_DN232463_c0_seq3.p2, Ssid_DN234662_c0_seq6.p1, Ssid_DN257716_c0_seq1.p1, Ssid_DN6754_c0_seq1.p1"
OG0000051,"Ssid_DN114019_c0_seq1.p1, Ssid_DN154808_c0_seq1.p1, Ssid_DN194491_c0_seq1.p1, Ssid_DN381222_c0_seq1.p2"
OG0000052,"Ssid_DN244408_c0_seq2.p1, Ssid_DN251569_c0_seq3.p1, Ssid_DN257253_c0_seq1.p1, Ssid_DN258023_c0_seq1.p1, Ssid_DN260203_c0_seq1.p1, Ssid_DN262298_c0_seq4.p1"
OG0000053,"Ssid_DN219496_c0_seq2.p1, Ssid_DN226088_c0_seq1.p1, Ssid_DN226290_c0_seq1.p1"
OG0000054,Ssid_DN68572_c0_seq1.p1
OG0000055,"Ssid_DN299024_c0_seq1.p1, Ssid_DN59245_c0_seq2.p1"
OG0000056,"Ssid_DN162152_c0_seq3.p1, Ssid_DN223412_c0_seq2.p1, Ssid_DN233312_c0_seq1.p1, Ssid_DN241910_c0_seq1.p1, Ssid_DN251428_c0_seq2.p1, Ssid_DN251512_c0_seq6.p1, Ssid_DN251885_c0_seq3.p1, Ssid_DN256350_c1_seq7.p1, Ssid_DN258439_c0_seq4.p1, Ssid_DN261333_c0_seq3.p1, Ssid_DN261577_c0_seq1.p1, Ssid_DN261577_c0_seq1.p2, Ssid_DN262547_c0_seq6.p2, Ssid_DN262604_c2_seq2.p1"
OG0000057,
OG0000058,"Ssid_DN329539_c0_seq1.p1, Ssid_DN332695_c0_seq1.p1, Ssid_DN71755_c0_seq2.p1"
OG0000059,"Ssid_DN103627_c0_seq1.p1, Ssid_DN107961_c0_seq1.p1, Ssid_DN108029_c0_seq1.p1, Ssid_DN124364_c0_seq1.p1, Ssid_DN288799_c0_seq1.p1, Ssid_DN59242_c0_seq1.p1, Ssid_DN72504_c0_seq1.p1"
OG0000060,Ssid_DN170359_c0_seq2.p1
OG0000061,"Ssid_DN118667_c0_seq1.p1, Ssid_DN216198_c0_seq1.p1, Ssid_DN227671_c0_seq1.p1, Ssid_DN242990_c0_seq1.p1, Ssid_DN257739_c0_seq1.p2, Ssid_DN259397_c0_seq5.p1, Ssid_DN44750_c0_seq1.p1"
OG0000062,"Ssid_DN213288_c0_seq2.p1, Ssid_DN228649_c0_seq1.p1, Ssid_DN245380_c0_seq3.p1, Ssid_DN246336_c0_seq2.p1, Ssid_DN250679_c0_seq9.p1, Ssid_DN251277_c1_seq5.p1, Ssid_DN260332_c0_seq6.p1, Ssid_DN260457_c0_seq2.p1, Ssid_DN260457_c0_seq2.p3, Ssid_DN260797_c0_seq10.p2, Ssid_DN260797_c0_seq10.p3, Ssid_DN261712_c0_seq7.p1, Ssid_DN263194_c0_seq1.p1, Ssid_DN263622_c0_seq2.p1"
OG0000063,"Ssid_DN143371_c0_seq1.p1, Ssid_DN216537_c0_seq3.p1, Ssid_DN232725_c0_seq4.p1, Ssid_DN241239_c0_seq1.p2, Ssid_DN250181_c0_seq5.p2, Ssid_DN253255_c0_seq3.p1, Ssid_DN253857_c0_seq14.p1, Ssid_DN254462_c2_seq1.p2, Ssid_DN260671_c0_seq7.p2, Ssid_DN260901_c0_seq2.p2, Ssid_DN261300_c0_seq4.p1, Ssid_DN261505_c0_seq8.p2, Ssid_DN262798_c0_seq2.p1, Ssid_DN263350_c0_seq1.p1, Ssid_DN263592_c0_seq1.p1, Ssid_DN263807_c0_seq5.p1, Ssid_DN263817_c1_seq5.p2"
OG0000064,"Ssid_DN181994_c0_seq1.p1, Ssid_DN214784_c0_seq2.p1, Ssid_DN232903_c0_seq6.p1, Ssid_DN242160_c0_seq4.p1, Ssid_DN244032_c0_seq2.p1, Ssid_DN245888_c0_seq4.p1, Ssid_DN246940_c0_seq2.p1, Ssid_DN246940_c0_seq2.p2, Ssid_DN247619_c0_seq2.p1, Ssid_DN249569_c0_seq2.p1, Ssid_DN252220_c0_seq1.p1, Ssid_DN252424_c0_seq5.p1, Ssid_DN254885_c0_seq27.p1, Ssid_DN255078_c0_seq69.p1, Ssid_DN257732_c0_seq7.p1, Ssid_DN261093_c0_seq13.p1, Ssid_DN261093_c0_seq13.p2, Ssid_DN263547_c1_seq16.p1"
OG0000065,"Ssid_DN230461_c0_seq1.p1, Ssid_DN260997_c1_seq1.p1, Ssid_DN261451_c0_seq1.p1, Ssid_DN263702_c0_seq1.p1, Ssid_DN263773_c0_seq3.p1, Ssid_DN263832_c0_seq1.p1, Ssid_DN314855_c0_seq1.p1, Ssid_DN332589_c0_seq1.p1"
OG0000066,"Ssid_DN239174_c0_seq1.p1, Ssid_DN242186_c0_seq5.p1, Ssid_DN253430_c3_seq2.p1, Ssid_DN254215_c1_seq7.p1, Ssid_DN258814_c0_seq2.p1"
OG0000067,Ssid_DN263598_c0_seq1.p1
OG0000068,
OG0000069,Ssid_DN260620_c1_seq1.p1
OG0000070,"Ssid_DN241073_c0_seq1.p1, Ssid_DN255856_c0_seq1.p1"
OG0000071,"Ssid_DN145711_c0_seq1.p2, Ssid_DN207863_c0_seq2.p1, Ssid_DN209493_c0_seq2.p1, Ssid_DN252492_c0_seq1.p1, Ssid_DN252492_c0_seq1.p2, Ssid_DN29693_c0_seq1.p1, Ssid_DN317055_c0_seq1.p1, Ssid_DN348110_c0_seq1.p2, Ssid_DN368188_c0_seq1.p1, Ssid_DN71113_c0_seq1.p1"
OG0000072,"Ssid_DN225408_c0_seq1.p1, Ssid_DN259158_c0_seq3.p3, Ssid_DN263943_c0_seq1.p1"
OG0000073,"Ssid_DN225432_c0_seq12.p1, Ssid_DN234184_c0_seq1.p1, Ssid_DN261870_c0_seq8.p1"
OG0000074,"Ssid_DN303148_c0_seq1.p1, Ssid_DN70782_c0_seq1.p1"
OG0000075,"Ssid_DN232411_c0_seq1.p1, Ssid_DN242304_c0_seq3.p1, Ssid_DN246048_c0_seq4.p1, Ssid_DN248597_c1_seq1.p1, Ssid_DN254177_c0_seq5.p1"
OG0000076,"Ssid_DN224961_c0_seq4.p1, Ssid_DN235384_c0_seq2.p2, Ssid_DN259506_c0_seq2.p1"
OG0000077,"Ssid_DN189271_c0_seq1.p1, Ssid_DN242782_c0_seq2.p1, Ssid_DN245585_c1_seq8.p1, Ssid_DN255175_c1_seq6.p1, Ssid_DN257997_c0_seq1.p1, Ssid_DN260439_c0_seq2.p1"
OG0000078,"Ssid_DN229782_c0_seq1.p1, Ssid_DN254926_c0_seq1.p1, Ssid_DN256444_c0_seq7.p1, Ssid_DN256444_c0_seq7.p2, Ssid_DN259659_c0_seq1.p1, Ssid_DN260138_c0_seq9.p1, Ssid_DN261760_c0_seq3.p1, Ssid_DN261760_c2_seq1.p1"
OG0000079,"Ssid_DN235135_c0_seq1.p1, Ssid_DN240215_c0_seq1.p1, Ssid_DN246349_c0_seq2.p1, Ssid_DN255318_c0_seq1.p1, Ssid_DN260218_c0_seq2.p1, Ssid_DN260540_c0_seq11.p1, Ssid_DN263065_c0_seq8.p1"
OG0000080,"Ssid_DN223344_c0_seq2.p1, Ssid_DN227679_c0_seq1.p1, Ssid_DN238060_c0_seq2.p1, Ssid_DN251165_c0_seq2.p1, Ssid_DN255919_c0_seq6.p1, Ssid_DN260579_c0_seq1.p1, Ssid_DN262228_c0_seq14.p1, Ssid_DN366851_c0_seq1.p1"
OG0000081,"Ssid_DN206503_c1_seq2.p1, Ssid_DN223553_c0_seq1.p1, Ssid_DN235434_c0_seq2.p1, Ssid_DN243138_c0_seq1.p1, Ssid_DN262074_c0_seq11.p1"
OG0000082,Ssid_DN180753_c0_seq1.p1
OG0000083,"Ssid_DN200168_c0_seq1.p1, Ssid_DN243635_c0_seq1.p2, Ssid_DN261689_c0_seq2.p1, Ssid_DN262147_c0_seq1.p1, Ssid_DN262876_c0_seq1.p1, Ssid_DN262876_c0_seq1.p3, Ssid_DN263232_c0_seq1.p1, Ssid_DN263740_c0_seq1.p1, Ssid_DN63781_c0_seq1.p1, Ssid_DN94530_c0_seq1.p1"
OG0000084,
OG0000085,
OG0000086,"Ssid_DN163223_c0_seq2.p1, Ssid_DN206278_c0_seq1.p1, Ssid_DN254427_c1_seq1.p1, Ssid_DN257551_c0_seq1.p5, Ssid_DN258739_c0_seq1.p1, Ssid_DN260028_c3_seq6.p1, Ssid_DN262889_c0_seq2.p1, Ssid_DN263489_c0_seq1.p1, Ssid_DN263613_c0_seq1.p1, Ssid_DN263744_c0_seq1.p1, Ssid_DN263796_c0_seq2.p1"
OG0000087,"Ssid_DN194678_c0_seq1.p1, Ssid_DN228419_c0_seq1.p1, Ssid_DN234296_c0_seq4.p1, Ssid_DN247571_c0_seq12.p1, Ssid_DN249177_c0_seq2.p1, Ssid_DN258173_c0_seq73.p2, Ssid_DN259591_c0_seq2.p1, Ssid_DN262868_c1_seq3.p2, Ssid_DN262989_c0_seq1.p2, Ssid_DN263394_c0_seq1.p2, Ssid_DN263575_c0_seq4.p2, Ssid_DN263803_c0_seq4.p4, Ssid_DN360221_c0_seq1.p1"
OG0000088,"Ssid_DN251542_c0_seq1.p1, Ssid_DN251542_c0_seq1.p2, Ssid_DN260586_c0_seq13.p1"
OG0000089,"Ssid_DN205269_c0_seq1.p1, Ssid_DN227006_c0_seq14.p1, Ssid_DN249788_c0_seq5.p1, Ssid_DN259660_c0_seq5.p1"
OG0000090,"Ssid_DN127520_c0_seq1.p1, Ssid_DN162514_c0_seq2.p1, Ssid_DN194772_c0_seq1.p1, Ssid_DN222720_c0_seq1.p1, Ssid_DN246017_c0_seq19.p1, Ssid_DN246017_c0_seq19.p2, Ssid_DN252990_c0_seq1.p1, Ssid_DN257540_c0_seq3.p1, Ssid_DN257540_c0_seq3.p2, Ssid_DN262978_c0_seq2.p1, Ssid_DN262978_c0_seq2.p2, Ssid_DN263718_c0_seq8.p1, Ssid_DN263718_c0_seq8.p2, Ssid_DN27087_c0_seq1.p1, Ssid_DN28738_c0_seq1.p1, Ssid_DN311800_c0_seq1.p1, Ssid_DN368238_c0_seq1.p1, Ssid_DN405141_c0_seq1.p1, Ssid_DN8775_c0_seq1.p1"
OG0000091,"Ssid_DN246971_c0_seq2.p1, Ssid_DN246971_c0_seq2.p2, Ssid_DN247266_c0_seq1.p1, Ssid_DN253582_c0_seq1.p1, Ssid_DN258233_c0_seq1.p1, Ssid_DN261310_c0_seq1.p1, Ssid_DN261526_c0_seq12.p1, Ssid_DN262276_c0_seq1.p1, Ssid_DN262276_c2_seq1.p1, Ssid_DN350724_c0_seq1.p1, Ssid_DN76491_c0_seq1.p1"
OG0000092,
OG0000093,"Ssid_DN197862_c0_seq2.p1, Ssid_DN242765_c0_seq1.p1, Ssid_DN244638_c0_seq1.p1, Ssid_DN253474_c1_seq15.p1, Ssid_DN253474_c1_seq15.p2, Ssid_DN254604_c0_seq2.p1, Ssid_DN258253_c0_seq1.p1, Ssid_DN262739_c0_seq1.p3, Ssid_DN39865_c0_seq2.p1"
OG0000094,"Ssid_DN230540_c0_seq1.p1, Ssid_DN239418_c0_seq1.p1, Ssid_DN257616_c0_seq23.p1, Ssid_DN58195_c0_seq1.p1"
OG0000095,
OG0000096,Ssid_DN255092_c0_seq13.p1
OG0000097,"Ssid_DN260870_c0_seq5.p1, Ssid_DN261810_c2_seq1.p1, Ssid_DN263287_c0_seq3.p1, Ssid_DN263392_c0_seq1.p1, Ssid_DN263778_c1_seq4.p1"
OG0000098,
OG0000099,"Ssid_DN110244_c0_seq1.p3, Ssid_DN250727_c0_seq15.p1, Ssid_DN255279_c0_seq3.p1, Ssid_DN261443_c0_seq5.p1, Ssid_DN263808_c0_seq2.p1"
OG0000100,Ssid_DN256698_c0_seq1.p1
OG0000101,"Ssid_DN223552_c0_seq1.p1, Ssid_DN229952_c0_seq1.p1, Ssid_DN393901_c0_seq1.p1"
OG0000102,"Ssid_DN133329_c0_seq1.p1, Ssid_DN158770_c0_seq1.p1, Ssid_DN229205_c0_seq1.p1, Ssid_DN246155_c0_seq1.p1, Ssid_DN246413_c0_seq1.p1, Ssid_DN250408_c1_seq14.p1, Ssid_DN261645_c1_seq7.p2, Ssid_DN340991_c0_seq1.p1, Ssid_DN356626_c0_seq1.p1, Ssid_DN371253_c0_seq1.p1, Ssid_DN377577_c0_seq1.p1, Ssid_DN60581_c0_seq1.p1, Ssid_DN70045_c0_seq1.p1"
OG0000103,"Ssid_DN216004_c0_seq2.p1, Ssid_DN255569_c0_seq1.p1, Ssid_DN258426_c0_seq1.p3, Ssid_DN308183_c0_seq1.p2"
OG0000104,"Ssid_DN246955_c1_seq1.p1, Ssid_DN256526_c0_seq7.p1, Ssid_DN258880_c0_seq10.p1, Ssid_DN263109_c1_seq1.p2, Ssid_DN263206_c0_seq1.p1, Ssid_DN263741_c0_seq7.p1, Ssid_DN263763_c0_seq3.p1"
OG0000105,
OG0000106,
