OG,Cnat_Orthofinder_input
OG0000010,"TRINITY_DN161767_c0_g1_i1.p1, TRINITY_DN176015_c0_g1_i1.p1, TRINITY_DN198936_c1_g1_i1.p1, TRINITY_DN230739_c0_g1_i3.p1, TRINITY_DN238061_c0_g1_i2.p1, TRINITY_DN242813_c0_g3_i3.p1, TRINITY_DN256825_c1_g2_i5.p1, TRINITY_DN262338_c1_g1_i2.p1, TRINITY_DN266002_c0_g3_i2.p1, TRINITY_DN269043_c1_g2_i6.p1, TRINITY_DN275052_c1_g1_i8.p1, TRINITY_DN277809_c2_g2_i6.p1, TRINITY_DN300623_c0_g1_i3.p1, TRINITY_DN303941_c3_g1_i2.p1, TRINITY_DN310186_c3_g1_i13.p1, TRINITY_DN310638_c4_g2_i1.p1, TRINITY_DN312461_c1_g2_i6.p1, TRINITY_DN315267_c1_g3_i4.p3, TRINITY_DN315619_c0_g1_i1.p1"
OG0000011,TRINITY_DN234915_c1_g1_i2.p2
OG0000012,"TRINITY_DN12711_c0_g1_i1.p1, TRINITY_DN234868_c0_g2_i2.p1, TRINITY_DN273326_c2_g3_i3.p1, TRINITY_DN273326_c2_g4_i6.p1, TRINITY_DN276105_c5_g2_i2.p2, TRINITY_DN278334_c1_g1_i7.p1, TRINITY_DN280034_c1_g2_i6.p2, TRINITY_DN280034_c1_g5_i1.p1, TRINITY_DN284085_c1_g1_i2.p1, TRINITY_DN284085_c1_g2_i5.p1, TRINITY_DN285021_c0_g1_i4.p1, TRINITY_DN286075_c0_g1_i8.p1, TRINITY_DN289187_c1_g1_i4.p1, TRINITY_DN289209_c1_g1_i17.p1, TRINITY_DN293555_c0_g1_i4.p1, TRINITY_DN293784_c0_g5_i1.p1, TRINITY_DN297041_c3_g1_i2.p2, TRINITY_DN298012_c1_g2_i7.p1, TRINITY_DN303701_c3_g2_i17.p3, TRINITY_DN304065_c4_g2_i1.p1, TRINITY_DN306610_c4_g3_i7.p1, TRINITY_DN310896_c3_g1_i2.p1, TRINITY_DN311449_c2_g2_i7.p1, TRINITY_DN311620_c1_g2_i9.p1, TRINITY_DN314316_c2_g2_i7.p1, TRINITY_DN314789_c0_g2_i4.p1, TRINITY_DN315240_c2_g2_i1.p1, TRINITY_DN315240_c2_g3_i1.p1"
OG0000013,"TRINITY_DN198027_c0_g1_i1.p2, TRINITY_DN201529_c1_g1_i1.p1, TRINITY_DN238354_c0_g1_i1.p1, TRINITY_DN281724_c0_g3_i3.p1, TRINITY_DN282892_c4_g1_i6.p1, TRINITY_DN283063_c0_g1_i12.p2, TRINITY_DN283786_c1_g4_i1.p1, TRINITY_DN284728_c1_g1_i4.p1, TRINITY_DN286024_c2_g4_i1.p1, TRINITY_DN291186_c2_g1_i3.p1, TRINITY_DN303287_c0_g5_i1.p1, TRINITY_DN303994_c1_g3_i4.p1, TRINITY_DN307085_c0_g1_i8.p2, TRINITY_DN312720_c1_g1_i1.p1, TRINITY_DN315438_c1_g1_i2.p1, TRINITY_DN317698_c4_g1_i4.p1, TRINITY_DN399354_c0_g1_i1.p1, TRINITY_DN86810_c0_g1_i1.p1, TRINITY_DN90923_c0_g1_i1.p1"
OG0000014,"TRINITY_DN263331_c1_g2_i5.p1, TRINITY_DN275770_c2_g1_i2.p1, TRINITY_DN275770_c4_g1_i1.p1, TRINITY_DN278841_c1_g1_i11.p1, TRINITY_DN285421_c0_g2_i6.p1, TRINITY_DN291691_c2_g1_i9.p2, TRINITY_DN298279_c1_g2_i1.p2, TRINITY_DN316743_c2_g1_i1.p2"
OG0000015,"TRINITY_DN118534_c0_g1_i3.p1, TRINITY_DN123169_c0_g1_i2.p1, TRINITY_DN12817_c0_g1_i1.p3, TRINITY_DN138078_c0_g1_i1.p1, TRINITY_DN13847_c0_g1_i1.p1, TRINITY_DN145551_c1_g1_i1.p2, TRINITY_DN154709_c0_g1_i1.p1, TRINITY_DN170131_c1_g1_i2.p1, TRINITY_DN170133_c0_g1_i1.p2, TRINITY_DN171398_c0_g1_i1.p1, TRINITY_DN178000_c0_g1_i1.p1, TRINITY_DN187314_c0_g1_i4.p1, TRINITY_DN187511_c0_g1_i3.p1, TRINITY_DN199716_c0_g1_i1.p1, TRINITY_DN207210_c0_g1_i1.p1, TRINITY_DN212332_c0_g1_i1.p1, TRINITY_DN216237_c0_g2_i1.p1, TRINITY_DN224390_c0_g1_i1.p1, TRINITY_DN234849_c0_g1_i3.p1, TRINITY_DN235450_c0_g2_i1.p1, TRINITY_DN243577_c0_g1_i1.p1, TRINITY_DN246741_c2_g2_i2.p1, TRINITY_DN247877_c0_g1_i4.p1, TRINITY_DN248387_c0_g1_i3.p1, TRINITY_DN248803_c0_g1_i9.p2, TRINITY_DN249105_c0_g1_i3.p1, TRINITY_DN252136_c0_g2_i3.p2, TRINITY_DN256604_c3_g5_i1.p2, TRINITY_DN258434_c0_g1_i10.p3, TRINITY_DN260524_c0_g1_i3.p1, TRINITY_DN262771_c0_g5_i1.p1, TRINITY_DN262771_c0_g6_i1.p2, TRINITY_DN263555_c0_g1_i1.p1, TRINITY_DN265645_c0_g3_i6.p1, TRINITY_DN270061_c0_g2_i13.p2, TRINITY_DN270320_c0_g1_i12.p1, TRINITY_DN270787_c0_g3_i3.p1, TRINITY_DN270787_c0_g3_i3.p4, TRINITY_DN271507_c0_g1_i7.p1, TRINITY_DN272067_c0_g1_i10.p3, TRINITY_DN272163_c0_g2_i1.p1, TRINITY_DN273527_c0_g2_i2.p2, TRINITY_DN274799_c1_g1_i5.p1, TRINITY_DN274984_c3_g1_i9.p1, TRINITY_DN281831_c0_g2_i7.p1, TRINITY_DN282051_c0_g4_i1.p1, TRINITY_DN282152_c1_g2_i8.p1, TRINITY_DN283681_c3_g1_i6.p1, TRINITY_DN284358_c1_g5_i6.p1, TRINITY_DN285860_c1_g2_i12.p2, TRINITY_DN287093_c0_g2_i1.p1, TRINITY_DN290476_c1_g2_i4.p1, TRINITY_DN29260_c0_g1_i1.p1, TRINITY_DN294015_c2_g7_i2.p1, TRINITY_DN294961_c0_g3_i1.p1, TRINITY_DN295327_c1_g1_i1.p1, TRINITY_DN297369_c1_g1_i2.p1, TRINITY_DN302125_c0_g1_i2.p1, TRINITY_DN306313_c0_g2_i1.p1, TRINITY_DN307177_c1_g5_i1.p1, TRINITY_DN308562_c3_g3_i1.p1, TRINITY_DN309561_c1_g1_i17.p1, TRINITY_DN311160_c0_g2_i1.p1, TRINITY_DN312514_c2_g1_i2.p1, TRINITY_DN313873_c1_g3_i1.p1, TRINITY_DN39826_c0_g1_i2.p1, TRINITY_DN49071_c0_g1_i1.p1, TRINITY_DN536956_c0_g1_i1.p1, TRINITY_DN585289_c0_g1_i1.p1, TRINITY_DN649984_c0_g1_i1.p1, TRINITY_DN668323_c0_g1_i1.p1, TRINITY_DN8703_c0_g1_i1.p1"
OG0000016,"TRINITY_DN117446_c0_g1_i1.p1, TRINITY_DN228295_c0_g1_i1.p1, TRINITY_DN245988_c1_g2_i1.p1, TRINITY_DN245988_c1_g2_i1.p2, TRINITY_DN264094_c0_g1_i1.p1, TRINITY_DN284969_c0_g4_i9.p1, TRINITY_DN290054_c2_g1_i5.p5, TRINITY_DN298291_c1_g1_i4.p2, TRINITY_DN298291_c1_g1_i4.p4, TRINITY_DN298911_c1_g1_i3.p1, TRINITY_DN298911_c1_g1_i3.p2, TRINITY_DN303783_c0_g1_i16.p1, TRINITY_DN309573_c1_g4_i8.p2, TRINITY_DN312904_c0_g2_i4.p2"
OG0000017,"TRINITY_DN235067_c0_g2_i1.p1, TRINITY_DN274667_c2_g1_i2.p1, TRINITY_DN278497_c0_g5_i2.p1, TRINITY_DN295644_c0_g1_i6.p1, TRINITY_DN298275_c0_g1_i1.p1, TRINITY_DN301171_c0_g1_i7.p1, TRINITY_DN308008_c0_g1_i9.p2, TRINITY_DN311903_c2_g1_i3.p1, TRINITY_DN312034_c1_g1_i11.p1, TRINITY_DN312125_c2_g1_i6.p1, TRINITY_DN312187_c3_g3_i7.p1, TRINITY_DN313928_c2_g1_i3.p1, TRINITY_DN314806_c1_g2_i2.p1, TRINITY_DN316744_c2_g1_i7.p1, TRINITY_DN317153_c3_g2_i4.p1, TRINITY_DN317500_c5_g1_i2.p4, TRINITY_DN426949_c0_g1_i1.p1"
OG0000018,"TRINITY_DN242951_c0_g1_i2.p1, TRINITY_DN276710_c0_g1_i1.p1, TRINITY_DN285556_c0_g1_i5.p1, TRINITY_DN286562_c1_g2_i6.p1, TRINITY_DN291380_c3_g1_i1.p1, TRINITY_DN294109_c0_g1_i4.p1, TRINITY_DN297171_c0_g1_i5.p1, TRINITY_DN303960_c3_g5_i1.p1, TRINITY_DN307871_c1_g1_i6.p1, TRINITY_DN312741_c2_g1_i10.p1, TRINITY_DN315004_c2_g7_i1.p1"
OG0000019,"TRINITY_DN160491_c0_g1_i1.p1, TRINITY_DN224967_c0_g1_i2.p1, TRINITY_DN260396_c0_g1_i2.p1, TRINITY_DN261665_c1_g3_i2.p1, TRINITY_DN263060_c0_g1_i1.p1, TRINITY_DN278130_c0_g2_i2.p1, TRINITY_DN279432_c1_g1_i5.p1, TRINITY_DN286774_c1_g2_i1.p1, TRINITY_DN288263_c1_g2_i2.p1, TRINITY_DN290614_c2_g1_i4.p1, TRINITY_DN292646_c0_g2_i6.p1, TRINITY_DN296851_c1_g3_i9.p1, TRINITY_DN301079_c0_g1_i3.p1, TRINITY_DN308618_c0_g1_i11.p1, TRINITY_DN317550_c11_g1_i10.p1, TRINITY_DN318500_c16_g2_i5.p1"
