Contig,Orthogroup
0,OG0044390
0,OG0044397
Past_DN67274_c0_seq1,OG0044396
Past_DN71280_c1_seq1,OG0044395
0,OG0044394
0,OG0044399
0,OG0044398
Past_DN76430_c0_seq4,OG0047013
0,OG0027834
Past_DN76430_c0_seq4,OG0047012
Past_DN94278_c0_seq1,OG0047138
Past_DN76478_c1_seq2,OG0047015
Past_DN94786_c0_seq1,OG0047139
Past_DN98792_c0_seq1,OG0047139
Past_DN76462_c1_seq1,OG0047014
Past_DN79023_c0_seq5,OG0047014
Past_DN93083_c0_seq1,OG0047136
Past_DN76516_c4_seq1,OG0047017
0,OG0044674
Past_DN76501_c0_seq5,OG0047016
0,OG0015733
0,OG0019999
0,OG0019998
0,OG0015732
0,OG0019993
Past_DN96385_c0_seq1,OG0019992
0,OG0019991
0,OG0019990
0,OG0019997
0,OG0015731
0,OG0019995
0,OG0019994
0,OG0015730
0,OG0044675
Past_DN36693_c0_seq1,OG0015737
Past_DN60391_c1_seq1,OG0015737
Past_DN88303_c0_seq1,OG0047131
Past_DN97953_c0_seq1,OG0047131
Past_DN76979_c5_seq1,OG0047027
0,OG0015736
0,OG0015298
Past_DN69158_c0_seq1,OG0015735
Past_DN41777_c1_seq1,OG0015294
Past_DN70203_c0_seq2,OG0015295
Past_DN59472_c0_seq1,OG0015296
Past_DN56323_c0_seq1,OG0015297
0,OG0015290
0,OG0015291
0,OG0015292
Past_DN83807_c0_seq1,OG0015293
0,OG0043712
0,OG0024499
0,OG0044676
Past_DN76066_c0_seq2,OG0031888
Past_DN21916_c0_seq1,OG0031696
0,OG0043710
0,OG0043711
0,OG0044979
0,OG0044978
0,OG0044977
0,OG0044976
0,OG0044975
0,OG0044974
0,OG0044973
0,OG0044972
0,OG0044971
0,OG0044970
0,OG0038431
0,OG0038430
0,OG0038433
0,OG0038432
0,OG0038435
0,OG0038434
0,OG0038437
0,OG0038436
0,OG0038439
0,OG0038438
Past_DN73905_c3_seq1,OG0046943
0,OG0023835
Past_DN75765_c0_seq1,OG0023834
0,OG0023837
0,OG0023836
Past_DN72223_c0_seq2,OG0023831
0,OG0023830
0,OG0023833
0,OG0023832
Past_DN109097_c0_seq1,OG0031719
0,OG0031718
0,OG0023839
0,OG0023838
0,OG0044670
0,OG0039524
0,OG0039525
0,OG0039526
0,OG0039527
0,OG0039520
0,OG0039521
Past_DN37_c0_seq1,OG0031694
0,OG0039523
0,OG0039528
0,OG0039529
Past_DN26090_c0_seq1,OG0017124
Past_DN27555_c0_seq1,OG0017125
Past_DN51021_c0_seq2,OG0017125
Past_DN51021_c0_seq2,OG0017125
Past_DN75499_c0_seq2,OG0017126
Past_DN78322_c0_seq7,OG0017127
0,OG0040064
Past_DN71877_c1_seq3,OG0017120
0,OG0017121
Past_DN71611_c0_seq1,OG0012334
Past_DN77131_c0_seq17,OG0012334
0,OG0020568
0,OG0020569
0,OG0020566
0,OG0020567
0,OG0020564
0,OG0020565
0,OG0020562
0,OG0020563
0,OG0020560
0,OG0020561
Past_DN136431_c0_seq1,OG0031692
0,OG0041574
0,OG0044673
0,OG0026924
0,OG0026925
0,OG0026926
0,OG0026927
0,OG0026920
0,OG0026921
0,OG0026922
0,OG0026923
0,OG0026928
0,OG0026929
0,OG0039380
0,OG0039381
0,OG0039382
0,OG0039383
0,OG0039384
0,OG0039385
0,OG0039146
Past_DN98427_c0_seq1,OG0039387
0,OG0039388
0,OG0039389
Past_DN22680_c0_seq1,OG0046535
Past_DN38340_c0_seq1,OG0046535
Past_DN22579_c0_seq1,OG0046534
Past_DN23119_c0_seq1,OG0046537
Past_DN56677_c0_seq4,OG0046537
Past_DN22796_c0_seq1,OG0046536
Past_DN65154_c0_seq2,OG0046536
Past_DN44025_c0_seq1,OG0041576
Past_DN22315_c0_seq1,OG0046530
Past_DN35016_c0_seq1,OG0046530
Past_DN22528_c0_seq1,OG0046533
Past_DN35800_c0_seq1,OG0046533
Past_DN22359_c0_seq1,OG0046532
Past_DN22377_c0_seq1,OG0046532
Past_DN23291_c0_seq1,OG0046539
Past_DN64878_c0_seq4,OG0046539
Past_DN23223_c0_seq1,OG0046538
Past_DN69709_c0_seq1,OG0046538
Past_DN83582_c0_seq1,OG0028614
0,OG0039147
Past_DN66762_c0_seq1,OG0033840
0,OG0041577
0,OG0033844
0,OG0028085
0,OG0028084
0,OG0033846
0,OG0028087
0,OG0038052
Past_DN29911_c0_seq1,OG0027031
0,OG0027030
0,OG0027033
0,OG0027032
0,OG0027035
0,OG0027034
0,OG0027037
0,OG0027036
0,OG0027039
0,OG0027038
0,OG0038050
0,OG0028080
Past_DN31697_c1_seq1,OG0028265
0,OG0028083
0,OG0028264
0,OG0028082
0,OG0028267
0,OG0041571
0,OG0038267
Past_DN84246_c0_seq1,OG0028266
0,OG0028261
Past_DN106642_c0_seq1,OG0028617
Past_DN44144_c0_seq1,OG0028260
Past_DN84632_c0_seq1,OG0026551
0,OG0028263
0,OG0036806
0,OG0037053
Past_DN79626_c0_seq2,OG0028262
Past_DN73395_c1_seq2,OG0041572
0,OG0036807
Past_DN40197_c0_seq1,OG0031992
0,OG0036804
Past_DN11564_c0_seq1,OG0028610
0,OG0044679
0,OG0026076
0,OG0026077
0,OG0026074
Past_DN59699_c0_seq1,OG0026075
Past_DN77619_c1_seq1,OG0026072
Past_DN62527_c1_seq1,OG0026073
Past_DN78997_c0_seq10,OG0026070
Past_DN67916_c0_seq1,OG0026071
0,OG0041573
Past_DN73270_c4_seq1,OG0026078
Past_DN78016_c3_seq2,OG0026079
Past_DN90210_c0_seq1,OG0029983
Past_DN66229_c0_seq2,OG0031998
0,OG0028611
Past_DN82211_c0_seq1,OG0028612
0,OG0004379
Past_DN76145_c0_seq7,OG0004378
Past_DN76145_c0_seq7,OG0004378
Past_DN69016_c0_seq4,OG0004375
Past_DN50302_c0_seq1,OG0004374
Past_DN77331_c2_seq8,OG0004374
Past_DN76867_c0_seq6,OG0004377
Past_DN88384_c0_seq1,OG0004376
Past_DN77977_c0_seq1,OG0004371
Past_DN70762_c0_seq2,OG0004370
Past_DN76837_c5_seq1,OG0004373
Past_DN20141_c0_seq1,OG0004372
Past_DN62342_c0_seq1,OG0004372
0,OG0028613
0,OG0034311
Past_DN75081_c0_seq1,OG0018107
Past_DN76465_c0_seq1,OG0018106
Past_DN75977_c0_seq1,OG0018105
0,OG0018104
Past_DN58766_c1_seq1,OG0018103
Past_DN105136_c0_seq1,OG0018102
Past_DN90602_c0_seq1,OG0018102
Past_DN73679_c0_seq1,OG0018101
Past_DN70395_c1_seq3,OG0018100
0,OG0018109
Past_DN20032_c0_seq1,OG0018108
0,OG0025529
Past_DN68769_c0_seq1,OG0025528
0,OG0030531
0,OG0025521
Past_DN59296_c0_seq1,OG0025520
0,OG0025523
0,OG0025522
Past_DN68632_c0_seq1,OG0025525
0,OG0025524
0,OG0025527
Past_DN72088_c0_seq5,OG0025526
0,OG0030533
Past_DN71172_c0_seq2,OG0015899
0,OG0039992
0,OG0030538
Past_DN86538_c0_seq1,OG0030539
0,OG0023454
0,OG0028559
Past_DN89780_c0_seq1,OG0028558
0,OG0028553
0,OG0028552
Past_DN100099_c0_seq1,OG0028551
0,OG0028550
0,OG0028557
Past_DN101956_c0_seq1,OG0028556
Past_DN48728_c0_seq1,OG0028555
Past_DN29058_c0_seq1,OG0028554
Past_DN27404_c1_seq1,OG0005967
Past_DN65210_c0_seq1,OG0005967
Past_DN69567_c0_seq3,OG0005966
Past_DN69595_c0_seq3,OG0005966
Past_DN79347_c0_seq13,OG0005966
0,OG0005965
Past_DN83276_c0_seq1,OG0005964
0,OG0005963
Past_DN75493_c0_seq2,OG0005962
Past_DN82181_c0_seq1,OG0005961
Past_DN81911_c0_seq1,OG0005960
0,OG0019764
0,OG0019765
0,OG0019766
0,OG0019767
0,OG0019760
0,OG0019761
0,OG0005969
0,OG0019763
Past_DN108873_c0_seq1,OG0028836
0,OG0034978
Past_DN64401_c0_seq1,OG0034979
Past_DN24648_c0_seq1,OG0034974
Past_DN91914_c0_seq1,OG0034975
0,OG0034976
0,OG0034977
0,OG0034970
0,OG0034971
0,OG0034972
Past_DN42322_c1_seq1,OG0034973
Past_DN75749_c3_seq2,OG0031483
0,OG0043126
Past_DN3352_c0_seq1,OG0031482
0,OG0021316
0,OG0021317
0,OG0021314
0,OG0021315
0,OG0021312
0,OG0021313
0,OG0021310
0,OG0021311
0,OG0021318
0,OG0021319
0,OG0035599
Past_DN109048_c0_seq1,OG0035598
0,OG0031489
0,OG0035591
Past_DN98586_c0_seq1,OG0035590
0,OG0035593
Past_DN83707_c0_seq1,OG0031488
0,OG0035595
0,OG0035594
0,OG0035597
0,OG0035596
0,OG0006265
Past_DN102869_c0_seq1,OG0006264
Past_DN76199_c0_seq2,OG0006264
Past_DN73067_c0_seq1,OG0006267
Past_DN73067_c1_seq1,OG0006267
Past_DN71067_c0_seq2,OG0006266
Past_DN110133_c0_seq1,OG0006261
Past_DN59444_c0_seq3,OG0006261
Past_DN65330_c0_seq2,OG0006260
Past_DN72328_c2_seq4,OG0006263
Past_DN72328_c2_seq4,OG0006263
Past_DN64324_c0_seq1,OG0006262
0,OG0042029
0,OG0042028
Past_DN66198_c0_seq1,OG0006269
Past_DN70260_c1_seq22,OG0006268
0,OG0046265
0,OG0038653
0,OG0037999
0,OG0037998
0,OG0037997
0,OG0037996
0,OG0037995
0,OG0037994
0,OG0037993
Past_DN66201_c1_seq2,OG0037992
0,OG0037991
0,OG0037990
0,OG0035629
0,OG0035628
0,OG0035627
0,OG0035626
Past_DN62730_c2_seq1,OG0035625
0,OG0035624
0,OG0035623
0,OG0035622
0,OG0035621
0,OG0035620
0,OG0020049
0,OG0020048
Past_DN103270_c0_seq1,OG0046343
0,OG0020041
0,OG0020040
0,OG0020043
0,OG0020042
0,OG0020045
0,OG0020044
0,OG0020047
0,OG0020046
0,OG0037665
0,OG0037664
0,OG0037667
Past_DN132343_c0_seq1,OG0037666
0,OG0037661
0,OG0037660
0,OG0037663
0,OG0037662
0,OG0037669
0,OG0037668
Past_DN60915_c0_seq1,OG0032019
Past_DN116357_c0_seq1,OG0032018
Past_DN18112_c0_seq1,OG0032015
Past_DN93259_c0_seq1,OG0032014
Past_DN16355_c0_seq1,OG0032017
0,OG0032016
0,OG0032011
0,OG0032010
0,OG0032013
0,OG0032012
0,OG0041480
0,OG0041481
Past_DN67622_c1_seq1,OG0004811
0,OG0041482
0,OG0045552
0,OG0045553
0,OG0045550
0,OG0041483
0,OG0045556
0,OG0045557
0,OG0045554
0,OG0045555
0,OG0041484
0,OG0045558
0,OG0045559
Past_DN75270_c0_seq3,OG0044189
0,OG0041485
0,OG0043868
0,OG0043869
Past_DN4203_c0_seq1,OG0041486
0,OG0043860
0,OG0043861
0,OG0043862
0,OG0041487
0,OG0043864
0,OG0043865
0,OG0043866
0,OG0043867
0,OG0045088
0,OG0045089
0,OG0045080
0,OG0045081
0,OG0045082
0,OG0045083
0,OG0045084
0,OG0045085
0,OG0045086
0,OG0045087
Past_DN53834_c0_seq1,OG0007619
Past_DN110101_c0_seq1,OG0007618
Past_DN31053_c1_seq1,OG0007618
Past_DN90490_c0_seq1,OG0007617
Past_DN94569_c0_seq1,OG0007617
Past_DN54683_c0_seq1,OG0007616
Past_DN65721_c0_seq1,OG0007616
Past_DN83404_c0_seq1,OG0007615
Past_DN83419_c0_seq1,OG0007615
Past_DN99467_c0_seq1,OG0007615
Past_DN65084_c0_seq1,OG0007614
Past_DN65084_c1_seq1,OG0007614
Past_DN79017_c0_seq1,OG0007613
Past_DN68609_c0_seq1,OG0007612
Past_DN79881_c0_seq1,OG0007611
Past_DN79887_c0_seq1,OG0007611
Past_DN79949_c0_seq1,OG0007611
Past_DN83218_c0_seq1,OG0007611
Past_DN22544_c1_seq1,OG0007610
Past_DN50045_c0_seq2,OG0007610
Past_DN127868_c0_seq1,OG0008502
Past_DN100913_c0_seq1,OG0008503
Past_DN80694_c0_seq1,OG0008503
Past_DN85243_c0_seq1,OG0008500
Past_DN65255_c0_seq3,OG0008501
Past_DN88553_c0_seq1,OG0008501
0,OG0008506
0,OG0008507
0,OG0008504
Past_DN80112_c0_seq1,OG0008505
Past_DN80196_c0_seq1,OG0008505
0,OG0008508
Past_DN48231_c0_seq1,OG0008509
Past_DN79682_c0_seq1,OG0008509
0,OG0005105
0,OG0005104
0,OG0005107
Past_DN80606_c0_seq1,OG0005106
Past_DN80438_c0_seq1,OG0005101
0,OG0005100
Past_DN75953_c1_seq1,OG0005103
0,OG0005102
0,OG0041709
0,OG0041708
0,OG0005109
0,OG0005108
Past_DN75936_c1_seq2,OG0045712
0,OG0044017
0,OG0032909
0,OG0032908
0,OG0032907
0,OG0032906
0,OG0032905
0,OG0032904
0,OG0032903
Past_DN25351_c0_seq1,OG0032902
Past_DN89388_c0_seq1,OG0032901
Past_DN101340_c0_seq1,OG0032900
0,OG0044340
0,OG0046348
0,OG0023698
0,OG0044341
0,OG0036318
Past_DN103465_c0_seq1,OG0003626
Past_DN59479_c0_seq1,OG0003626
Past_DN59552_c0_seq1,OG0003626
Past_DN68006_c0_seq1,OG0003626
Past_DN70625_c1_seq4,OG0003626
Past_DN73423_c0_seq9,OG0003626
Past_DN74356_c0_seq2,OG0003626
Past_DN77282_c0_seq10,OG0003626
Past_DN104774_c0_seq1,OG0003627
Past_DN44899_c0_seq1,OG0003627
Past_DN63544_c0_seq2,OG0003627
Past_DN71694_c2_seq1,OG0003627
Past_DN78267_c1_seq1,OG0003627
Past_DN79394_c0_seq1,OG0003627
Past_DN79394_c1_seq15,OG0003627
Past_DN9025_c0_seq1,OG0003627
Past_DN100485_c0_seq1,OG0003624
Past_DN101943_c0_seq1,OG0003624
Past_DN105514_c0_seq1,OG0003624
Past_DN107018_c0_seq1,OG0003624
Past_DN113271_c0_seq1,OG0003624
Past_DN11515_c0_seq1,OG0003624
Past_DN39702_c0_seq1,OG0003624
Past_DN82876_c0_seq1,OG0003624
Past_DN101513_c0_seq1,OG0003625
Past_DN112726_c0_seq1,OG0003625
Past_DN52557_c0_seq1,OG0003625
Past_DN66946_c0_seq1,OG0003625
Past_DN69624_c1_seq1,OG0003625
Past_DN77380_c3_seq4,OG0003625
Past_DN98694_c0_seq1,OG0003625
Past_DN28770_c0_seq1,OG0003622
Past_DN49091_c0_seq1,OG0003622
Past_DN54883_c0_seq1,OG0003622
Past_DN55317_c0_seq1,OG0003622
Past_DN55924_c0_seq1,OG0003622
Past_DN79478_c0_seq8,OG0003622
Past_DN79613_c0_seq6,OG0003622
Past_DN11662_c0_seq1,OG0003623
Past_DN66403_c0_seq1,OG0003623
Past_DN80805_c0_seq1,OG0003623
Past_DN82452_c0_seq1,OG0003623
Past_DN98630_c0_seq1,OG0003623
Past_DN60272_c0_seq1,OG0003620
Past_DN61482_c1_seq2,OG0003620
Past_DN73113_c1_seq1,OG0003620
Past_DN74964_c0_seq1,OG0003620
Past_DN75408_c0_seq4,OG0003620
Past_DN75684_c0_seq1,OG0003620
Past_DN79701_c0_seq1,OG0003620
Past_DN44613_c0_seq1,OG0003621
Past_DN50883_c0_seq1,OG0003621
Past_DN50883_c1_seq1,OG0003621
Past_DN68772_c0_seq3,OG0003621
Past_DN94857_c0_seq1,OG0003621
Past_DN69856_c1_seq1,OG0010358
Past_DN74775_c1_seq1,OG0010359
Past_DN63154_c1_seq1,OG0000948
Past_DN65246_c0_seq3,OG0000948
Past_DN75974_c0_seq5,OG0000948
Past_DN76788_c0_seq1,OG0000948
Past_DN77503_c0_seq1,OG0000948
Past_DN105484_c0_seq1,OG0003628
Past_DN111650_c0_seq1,OG0003628
Past_DN129266_c0_seq1,OG0003628
Past_DN25417_c0_seq1,OG0003628
Past_DN34737_c0_seq1,OG0003628
Past_DN45283_c0_seq1,OG0003628
Past_DN49651_c0_seq1,OG0003628
Past_DN64148_c0_seq1,OG0003628
Past_DN132912_c0_seq1,OG0003629
Past_DN1352_c0_seq1,OG0003629
Past_DN19543_c1_seq1,OG0003629
Past_DN28046_c0_seq1,OG0003629
Past_DN28217_c0_seq1,OG0003629
Past_DN36290_c0_seq2,OG0003629
Past_DN80261_c0_seq1,OG0003629
Past_DN94365_c0_seq1,OG0003629
Past_DN61959_c0_seq1,OG0000949
Past_DN73374_c1_seq18,OG0000949
0,OG0043161
0,OG0043160
Past_DN95799_c0_seq1,OG0043163
0,OG0043162
Past_DN75326_c0_seq1,OG0010688
Past_DN72397_c0_seq1,OG0010689
Past_DN70784_c0_seq1,OG0028339
Past_DN90879_c0_seq1,OG0028338
Past_DN77148_c3_seq1,OG0010680
Past_DN41090_c0_seq2,OG0010681
Past_DN68461_c0_seq1,OG0010682
Past_DN72924_c0_seq1,OG0010683
0,OG0010684
Past_DN75885_c1_seq3,OG0010685
Past_DN76916_c2_seq12,OG0010686
Past_DN66971_c0_seq2,OG0010687
0,OG0044344
Past_DN57125_c0_seq1,OG0000946
Past_DN64154_c0_seq1,OG0000946
Past_DN71795_c1_seq2,OG0000946
Past_DN76365_c6_seq6,OG0000946
Past_DN77110_c2_seq1,OG0000946
Past_DN13907_c0_seq1,OG0000947
Past_DN37885_c1_seq1,OG0000947
Past_DN38873_c0_seq1,OG0000947
0,OG0034505
Past_DN64602_c0_seq3,OG0034504
0,OG0034507
0,OG0034506
Past_DN66014_c0_seq1,OG0034501
Past_DN48853_c0_seq1,OG0034500
0,OG0034503
0,OG0034502
0,OG0034509
Past_DN66696_c0_seq2,OG0034508
0,OG0044345
0,OG0044346
Past_DN41271_c0_seq1,OG0002579
Past_DN10943_c0_seq1,OG0002578
Past_DN51981_c0_seq1,OG0002578
Past_DN58076_c0_seq1,OG0002578
Past_DN72155_c0_seq12,OG0006992
Past_DN78473_c0_seq1,OG0002571
Past_DN30620_c0_seq1,OG0002570
Past_DN61648_c0_seq1,OG0002570
Past_DN76302_c1_seq2,OG0002570
Past_DN76519_c0_seq9,OG0002570
Past_DN24290_c0_seq2,OG0002573
Past_DN72072_c0_seq1,OG0002573
Past_DN110227_c0_seq1,OG0002572
Past_DN105479_c0_seq1,OG0002575
Past_DN4230_c0_seq1,OG0002575
Past_DN76252_c0_seq2,OG0002575
Past_DN73139_c0_seq1,OG0002574
Past_DN73139_c1_seq1,OG0002574
Past_DN75771_c0_seq1,OG0002577
Past_DN80894_c0_seq1,OG0002577
Past_DN111104_c0_seq1,OG0002576
Past_DN72725_c0_seq2,OG0002576
Past_DN72725_c1_seq1,OG0002576
Past_DN78905_c0_seq1,OG0011085
Past_DN66968_c0_seq1,OG0011084
Past_DN82107_c0_seq1,OG0011087
Past_DN75530_c0_seq1,OG0011086
Past_DN67974_c0_seq4,OG0011081
Past_DN78594_c0_seq3,OG0011080
Past_DN78594_c0_seq3,OG0011080
Past_DN73278_c2_seq6,OG0011083
Past_DN72590_c0_seq1,OG0011082
Past_DN36112_c0_seq1,OG0012260
Past_DN64754_c0_seq4,OG0012260
Past_DN83599_c0_seq1,OG0012261
0,OG0012262
Past_DN56330_c1_seq1,OG0012263
Past_DN94062_c0_seq1,OG0012263
Past_DN72954_c0_seq1,OG0011089
Past_DN71415_c0_seq1,OG0011088
0,OG0012266
Past_DN85401_c0_seq1,OG0012267
Past_DN82869_c0_seq1,OG0047114
Past_DN91137_c0_seq1,OG0047114
0,OG0044577
0,OG0014786
Past_DN25577_c0_seq1,OG0006995
Past_DN71668_c0_seq1,OG0006995
Past_DN91470_c0_seq1,OG0014781
Past_DN76067_c3_seq1,OG0006994
Past_DN78710_c2_seq15,OG0006994
Past_DN38586_c0_seq1,OG0013176
0,OG0014783
0,OG0038991
0,OG0014782
Past_DN83332_c0_seq1,OG0047115
0,OG0011559
Past_DN29004_c0_seq1,OG0011558
Past_DN4257_c0_seq1,OG0046049
Past_DN87492_c0_seq1,OG0046048
Past_DN73762_c0_seq1,OG0011553
Past_DN79250_c0_seq6,OG0011552
Past_DN75700_c0_seq3,OG0011551
Past_DN77260_c0_seq1,OG0011550
0,OG0011557
Past_DN76354_c0_seq3,OG0011556
Past_DN69833_c2_seq1,OG0011555
Past_DN2758_c1_seq1,OG0011554
Past_DN68018_c2_seq1,OG0011554
Past_DN78955_c0_seq1,OG0011554
Past_DN72649_c0_seq2,OG0012198
Past_DN68877_c0_seq1,OG0012199
Past_DN75957_c0_seq1,OG0012196
Past_DN78427_c0_seq1,OG0012196
Past_DN20096_c0_seq1,OG0012197
Past_DN44638_c0_seq1,OG0012197
Past_DN87440_c0_seq1,OG0012194
Past_DN106252_c0_seq1,OG0012195
Past_DN65321_c0_seq1,OG0012192
Past_DN104955_c0_seq1,OG0012193
Past_DN66231_c0_seq9,OG0012193
Past_DN72903_c0_seq3,OG0012190
Past_DN74756_c0_seq2,OG0012190
0,OG0012191
Past_DN134895_c0_seq1,OG0014693
Past_DN82816_c0_seq1,OG0014692
Past_DN33794_c0_seq1,OG0014691
Past_DN32126_c0_seq1,OG0014690
Past_DN76993_c0_seq1,OG0014697
0,OG0014696
0,OG0014695
0,OG0014694
0,OG0014699
0,OG0014698
Past_DN1513_c0_seq1,OG0009668
Past_DN71898_c3_seq8,OG0009669
Past_DN76514_c1_seq1,OG0009660
Past_DN60329_c0_seq1,OG0009661
Past_DN80859_c0_seq1,OG0009661
Past_DN80206_c0_seq1,OG0009662
Past_DN88368_c0_seq1,OG0009662
Past_DN64959_c0_seq1,OG0009663
Past_DN69622_c0_seq3,OG0009664
Past_DN73989_c0_seq1,OG0009665
Past_DN68454_c0_seq2,OG0009666
Past_DN86743_c0_seq1,OG0009666
Past_DN20498_c0_seq1,OG0009667
0,OG0029525
Past_DN94034_c0_seq1,OG0029524
Past_DN9169_c0_seq1,OG0029527
Past_DN37547_c0_seq1,OG0029526
0,OG0029521
0,OG0029520
0,OG0029523
Past_DN84991_c0_seq1,OG0029522
Past_DN81714_c0_seq1,OG0047110
Past_DN89606_c0_seq1,OG0047110
Past_DN22851_c0_seq1,OG0029529
Past_DN70854_c0_seq3,OG0029529
Past_DN96452_c0_seq1,OG0029528
0,OG0025046
0,OG0040334
Past_DN65034_c0_seq2,OG0009598
0,OG0009599
Past_DN67358_c0_seq1,OG0009596
Past_DN81746_c0_seq1,OG0009597
Past_DN79198_c0_seq17,OG0009594
Past_DN81947_c0_seq1,OG0009595
Past_DN66390_c0_seq2,OG0009592
0,OG0009593
Past_DN122814_c0_seq1,OG0009590
Past_DN67734_c2_seq1,OG0009591
0,OG0025045
Past_DN22487_c0_seq1,OG0025042
0,OG0025043
Past_DN66997_c1_seq1,OG0016028
Past_DN77733_c1_seq3,OG0016029
0,OG0025040
Past_DN78433_c0_seq5,OG0016022
Past_DN103959_c0_seq1,OG0016023
Past_DN104201_c0_seq1,OG0016020
0,OG0016021
Past_DN60582_c1_seq1,OG0016026
Past_DN72255_c0_seq3,OG0016027
Past_DN64575_c0_seq1,OG0016024
Past_DN90884_c0_seq1,OG0016025
0,OG0040014
0,OG0007969
Past_DN82205_c0_seq1,OG0047113
0,OG0040015
Past_DN28427_c0_seq1,OG0007968
Past_DN70177_c0_seq2,OG0026278
Past_DN70965_c1_seq2,OG0026279
0,OG0026270
0,OG0026271
0,OG0026272
0,OG0026273
Past_DN63456_c0_seq3,OG0026274
0,OG0026275
Past_DN73190_c2_seq1,OG0026276
0,OG0026277
0,OG0022199
0,OG0022198
0,OG0022191
0,OG0022190
0,OG0022193
0,OG0022192
0,OG0022195
0,OG0022194
0,OG0022197
Past_DN49230_c0_seq1,OG0022196
Past_DN93304_c0_seq1,OG0022196
0,OG0017649
Past_DN40253_c0_seq2,OG0017648
0,OG0017645
0,OG0017644
0,OG0017647
0,OG0017646
0,OG0017641
0,OG0017640
0,OG0017643
0,OG0017642
0,OG0028805
0,OG0040337
0,OG0035195
0,OG0023578
0,OG0023579
0,OG0035194
Past_DN70893_c0_seq2,OG0023574
0,OG0023575
0,OG0023576
0,OG0023577
0,OG0023570
0,OG0023571
